# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
41984 30.75 2.30856049737618e-05 2.30852651687572e-05 2.30860536732243e-05
42496 31.125 2.55924975765832e-05 2.5592358000143e-05 2.5592515461099e-05
43008 31.5 2.73644383205211e-05 2.73623933049097e-05 2.73633354431277e-05
43520 31.875 2.77661130201724e-05 2.77647006229832e-05 2.77653038115686e-05
44032 32.25 2.59103560873063e-05 2.59108902060797e-05 2.59112706136007e-05
44544 32.625 2.78649831975764e-05 2.78653416813943e-05 2.78646309012772e-05
45056 33 2.98977094526028e-05 2.98978386958579e-05 2.9897637691873e-05
45568 33.375 3.30845905624821e-05 3.30854617241496e-05 3.30848044543501e-05
46080 33.75 3.62727528293054e-05 3.62727954825354e-05 3.62734147009219e-05
46592 34.125 3.76158494822644e-05 3.76155959023061e-05 3.76162690349461e-05
47104 34.5 4.17457275526051e-05 4.17454652282682e-05 4.17461022463609e-05
47616 34.875 4.47834577779541e-05 4.47839189466357e-05 4.47842883839849e-05
48128 35.25 4.96905506576372e-05 4.96933421803469e-05 4.96928967740854e-05
48640 35.625 4.4499862311015e-05 4.45003591684102e-05 4.44998849714423e-05
49152 36 3.67791042065925e-05 3.67800437432235e-05 3.67797956012917e-05
49664 36.375 4.06325511524302e-05 4.06340424140967e-05 4.06337887051785e-05
50176 36.75 4.58650184831234e-05 4.58628767184644e-05 4.58635116470951e-05
50688 37.125 4.6680741887304e-05 4.66806179097153e-05 4.66805694175479e-05
51200 37.5 3.86341669930669e-05 3.86354633281572e-05 3.86353842396739e-05
51712 37.875 4.34212562210573e-05 4.34216387662355e-05 4.34215596687977e-05
52224 38.25 5.14913474425538e-05 5.14917110705208e-05 5.1493057327572e-05
52736 38.625 4.73307104647921e-05 4.73323132202994e-05 4.73343412797005e-05
53248 39 4.4973076156252e-05 4.49740941500806e-05 4.4974524675666e-05
53760 39.375 5.69353627660077e-05 5.69368004093083e-05 5.69354781230787e-05
54272 39.75 5.99040337884702e-05 5.99054847800326e-05 5.99043609539021e-05
54784 40.125 5.46200087699074e-05 5.46230562952507e-05 5.46212224695366e-05
55296 40.5 5.92248944535906e-05 5.9228200856107e-05 5.92278766717254e-05
55808 40.875 6.56985913316372e-05 6.57001341020097e-05 6.57000336276114e-05
56320 41.25 6.97895351476476e-05 6.97929112690146e-05 6.97918199383256e-05
56832 41.625 7.1781864132326e-05 7.17837914505227e-05 7.17817413657103e-05
57344 42 8.35119155452363e-05 8.35129773277341e-05 8.35140441363014e-05
57856 42.375 6.77388100535667e-05 6.77369855366246e-05 6.77390663160991e-05
58368 42.75 7.44465016651285e-05 7.44478690080534e-05 7.44470205228583e-05
58880 43.125 8.19841480404378e-05 8.19836538717219e-05 8.19834721024035e-05
59392 43.5 7.62558246570246e-05 7.62544195865717e-05 7.62589380181963e-05
59904 43.875 8.27790689357815e-05 8.27773254813651e-05 8.27810398204746e-05
60416 44.25 7.61932186544325e-05 7.61904797472029e-05 7.61941385505436e-05
60928 44.625 8.00912194742768e-05 8.00897740406406e-05 8.00895209083244e-05
61440 45 8.88622134113042e-05 8.88619155549811e-05 8.88595481705117e-05
61952 45.375 9.53561653298487e-05 9.53567835697883e-05 9.53548799401957e-05
62464 45.75 9.33710795394642e-05 9.33723226739978e-05 9.3369712562617e-05
62976 46.125 0.000101375639272948 0.000101371469544357 0.000101376398136311
63488 46.5 0.000107446261874231 0.00010744555332292 0.000107445744773451
64000 46.875 0.000113613496303509 0.00011360670256715 0.000113609303106253
64512 47.25 0.000114511335660794 0.000114515255751143 0.000114511474836959
65024 47.625 0.0001069703623776 0.000106968347810756 0.000106967611787711
65536 48 0.000103583627615686 0.000103589400548233 0.000103585913919879
66048 48.375 9.31541649869264e-05 9.31524922901916e-05 9.31591883732542e-05
66560 48.75 9.13919607675099e-05 9.13928320601828e-05 9.13965761632705e-05
67072 49.125 8.00483128623888e-05 8.0042011865193e-05 8.00514527436732e-05
67584 49.5 9.45808156131602e-05 9.45806885113904e-05 9.45764219549617e-05
68096 49.875 7.17139199667439e-05 7.17141485858758e-05 7.17186013491903e-05
68608 50.25 8.24941467550885e-05 8.24916712920951e-05 8.24898039187465e-05
69120 50.625 7.1259581332714e-05 7.12583390273298e-05 7.12569754514645e-05
69632 51 6.86984805303406e-05 6.87019932966894e-05 6.86995455001056e-05
70144 51.375 7.75894276413149e-05 7.75861338313722e-05 7.75862576487877e-05
70656 51.75 7.44530298722844e-05 7.44528652113443e-05 7.44497058352259e-05
71168 52.125 8.0984174871741e-05 8.09788138034124e-05 8.09790099582778e-05
71680 52.5 6.66064465195458e-05 6.66058689659052e-05 6.66081384512539e-05
72192 52.875 6.43762702181848e-05 6.43726440812237e-05 6.43726970682058e-05
72704 53.25 6.28104921195004e-05 6.28080027193407e-05 6.28137205047662e-05
73216 53.625 4.66651517127889e-05 4.66633945092088e-05 4.6668976370384e-05
73728 54 4.32239316469678e-05 4.32265354967482e-05 4.32203162732698e-05
74240 54.375 4.11305658559713e-05 4.11314351272043e-05 4.11337508228708e-05
74752 54.75 4.73882420553628e-05 4.73890443030879e-05 4.73935720139459e-05
75264 55.125 4.5269355025528e-05 4.52654203278659e-05 4.52691600521129e-05
75776 55.5 4.95663463012006e-05 4.95618458467229e-05 4.95675193202575e-05
76288 55.875 4.89824979841049e-05 4.89811948888964e-05 4.89809030042645e-05
76800 56.25 6.55951001742667e-05 6.55888417003946e-05 6.55955994383241e-05
77312 56.625 5.52769575596617e-05 5.52786692986391e-05 5.52762633463232e-05
77824 57 5.60155527058671e-05 5.60146569341215e-05 5.60103066645386e-05
78336 57.375 6.21054089025368e-05 6.21014183805995e-05 6.21044223945779e-05
78848 57.75 4.72120376682853e-05 4.72114000684233e-05 4.72133148044504e-05
79360 58.125 4.57141921111272e-05 4.57087956674379e-05 4.57028514677945e-05
79872 58.5 4.31819768474661e-05 4.31802484933614e-05 4.31770692009686e-05
80384 58.875 3.6888916573094e-05 3.69051542216741e-05 3.68914323306785e-05
80896 59.25 3.00089042361417e-05 3.00088831221089e-05 3.00103683261502e-05
81408 59.625 3.40972181766359e-05 3.41013838076746e-05 3.40972124046285e-05
81920 60 3.66085491054831e-05 3.65742404066146e-05 3.6604414047782e-05
82432 60.375 3.27181131771501e-05 3.27207841658554e-05 3.2720654360248e-05
82944 60.75 4.27898993871709e-05 4.27911972014145e-05 4.27911477056971e-05
83456 61.125 3.7213790655027e-05 3.72086820977621e-05 3.72135514897335e-05
83968 61.5 4.77701683280064e-05 4.77716920059057e-05 4.77742366799732e-05
84480 61.875 4.69165297757772e-05 4.69135291996531e-05 4.69168392828564e-05
84992 62.25 3.66907000598904e-05 3.66891429722222e-05 3.6692857200458e-05
85504 62.625 3.90912100697285e-05 3.90858139501132e-05 3.90851458030036e-05
86016 63 2.62934843621918e-05 2.62925629269938e-05 2.62936620242011e-05
86528 63.375 2.68726735727639e-05 2.68760962824429e-05 2.68611092551225e-05
87040 63.75 2.23338429701279e-05 2.23344558359494e-05 2.23379187716923e-05
87552 64.125 3.1313148564863e-05 3.13094306347219e-05 3.13194106984213e-05
88064 64.5 2.40284900251448e-05 2.40186685459362e-05 2.40256117259622e-05
88576 64.875 2.30674673653878e-05 2.30634103672656e-05 2.30767934976538e-05
89088 65.25 2.77208357759897e-05 2.77138537970534e-05 2.77284661108701e-05
89600 65.625 2.25780849470907e-05 2.257886435207e-05 2.25735721741858e-05
90112 66 2.5028359924123e-05 2.50275962278523e-05 2.50275643051689e-05
90624 66.375 3.13563347127225e-05 3.13633429572555e-05 3.13572974628937e-05
91136 66.75 3.0298674317404e-05 3.02982735623227e-05 3.03027913513151e-05
91648 67.125 2.33588006279426e-05 2.33616462050406e-05 2.33631433696356e-05
92160 67.5 2.6239783092547e-05 2.62435629181953e-05 2.62412361600478e-05
92672 67.875 2.70287018926451e-05 2.70262332887131e-05 2.70316605605165e-05
93184 68.25 1.94446174067947e-05 1.94392127804241e-05 1.94468818998427e-05
93696 68.625 1.98887831247213e-05 1.98868594790619e-05 1.988940724056e-05
94208 69 2.27039646590742e-05 2.27017309355059e-05 2.27084049816636e-05
94720 69.375 2.43294988694517e-05 2.43190176570225e-05 2.43301935975044e-05
95232 69.75 2.46866960824767e-05 2.46825079708336e-05 2.46858763712665e-05
95744 70.125 2.77790678357912e-05 2.77782287473756e-05 2.77796586477469e-05
96256 70.5 2.95327302031187e-05 2.95271279988631e-05 2.95273283064929e-05
96768 70.875 2.99487458037531e-05 2.99512347764578e-05 2.99550980088406e-05
97280 71.25 2.67553676857776e-05 2.67587159182311e-05 2.67542052447253e-05
97792 71.625 3.92833847793488e-05 3.92784535171647e-05 3.92818456593017e-05
98304 72 3.204216152113e-05 3.20428622210248e-05 3.20360536991245e-05
98816 72.375 3.48804547524467e-05 3.48679642844425e-05 3.48759659505003e-05
99328 72.75 2.75181235456917e-05 2.75280007870602e-05 2.75208048217254e-05
99840 73.125 3.31185207980035e-05 3.31244113499899e-05 3.31188674848383e-05
100352 73.5 2.36539992370047e-05 2.36527578623014e-05 2.36486744712303e-05
100864 73.875 2.75815082999691e-05 2.75889730702219e-05 2.75795722663411e-05
101376 74.25 1.93724962775242e-05 1.9371689073064e-05 1.9367211138853e-05
101888 74.625 1.96315044954262e-05 1.96405212671346e-05 1.96321614867034e-05
102400 75 1.58341631174868e-05 1.58410344441513e-05 1.58355479741376e-05
102912 75.375 1.96522496804576e-05 1.96474431869626e-05 1.96479666416624e-05
103424 75.75 2.18169103141977e-05 2.18161511534104e-05 2.18140577001978e-05
103936 76.125 2.62877150692452e-05 2.63031030419604e-05 2.62907711721055e-05
104448 76.5 1.97319209823885e-05 1.97289465008924e-05 1.97315200216447e-05
104960 76.875 2.13906257589893e-05 2.1393672026679e-05 2.13876094491657e-05
105472 77.25 1.82784703500515e-05 1.82782534784787e-05 1.82792505449214e-05
105984 77.625 2.23178352288927e-05 2.23141148599642e-05 2.2314603566574e-05
106496 78 1.7796857009464e-05 1.77893084616128e-05 1.77880774360265e-05
107008 78.375 2.25289750087309e-05 2.25274247670005e-05 2.25315017598677e-05
107520 78.75 2.69888155253288e-05 2.69871832316252e-05 2.69936029205292e-05
108032 79.125 3.2281349984724e-05 3.22795270668407e-05 3.22811291449466e-05
108544 79.5 2.37919917158759e-05 2.37939078768636e-05 2.37863781148707e-05
109056 79.875 3.38321138396123e-05 3.38279384214441e-05 3.38335391388493e-05
109568 80.25 2.87580947067756e-05 2.8764205642304e-05 2.87664566511865e-05
110080 80.625 3.13503079666007e-05 3.13534079442288e-05 3.13560212335132e-05
110592 81 2.82570773149226e-05 2.82653349225266e-05 2.82625663451187e-05
111104 81.375 2.75553891843047e-05 2.75519084217898e-05 2.75511888454917e-05
111616 81.75 2.20819581479165e-05 2.20793200003373e-05 2.20830158726746e-05
112128 82.125 2.28879213537493e-05 2.28860843781504e-05 2.28877395689913e-05
112640 82.5 1.83272816483582e-05 1.83227644091944e-05 1.83250377247949e-05
113152 82.875 1.75114988219088e-05 1.75065957711411e-05 1.75120818741341e-05
113664 83.25 2.21639708435694e-05 2.21979034951424e-05 2.21639072176257e-05
114176 83.625 1.85670179634469e-05 1.85928019505138e-05 1.85621294890156e-05
114688 84 2.36610967140512e-05 2.36519084680654e-05 2.36581913339968e-05
115200 84.375 3.13495383908606e-05 3.13573808362831e-05 3.13442949435246e-05
115712 84.75 2.46481163259241e-05 2.46423344229275e-05 2.46464530218791e-05
116224 85.125 3.01002155113583e-05 3.00998116484445e-05 3.00990497628711e-05
116736 85.5 2.48217632815788e-05 2.48214217573072e-05 2.48219708401342e-05
117248 85.875 2.29930540922136e-05 2.2977279943819e-05 2.2986634261138e-05
117760 86.25 2.50178025894723e-05 2.50207826312232e-05 2.50251597065089e-05
118272 86.625 2.57098009991213e-05 2.57048315900325e-05 2.57116953255029e-05
118784 87 2.49362765618285e-05 2.49468584148075e-05 2.4932443709155e-05
119296 87.375 2.19852500078986e-05 2.19842302926326e-05 2.19828486297692e-05
119808 87.75 1.93093616424435e-05 1.93219246504666e-05 1.93498830468359e-05
120320 88.125 2.04403093616527e-05 2.04444432832348e-05 2.04365512089911e-05
120832 88.5 1.50650979580346e-05 1.50892276968291e-05 1.51049151847536e-05
121344 88.875 1.74585723985562e-05 1.74524094386374e-05 1.74504022694027e-05
121856 89.25 1.46193158108483e-05 1.45938792502449e-05 1.46068090410526e-05
122368 89.625 1.46502012888007e-05 1.46328625804305e-05 1.46481436446844e-05
122880 90 1.48601010202002e-05 1.48656773195777e-05 1.48565883927329e-05
123392 90.375 1.87889725267551e-05 1.87886343854021e-05 1.87971250127843e-05
123904 90.75 1.2491794175595e-05 1.24948104523344e-05 1.24914237933302e-05
124416 91.125 2.14596206228314e-05 2.14531778056082e-05 2.14502352661714e-05
124928 91.5 1.73827563523273e-05 1.73825650725636e-05 1.73855453560352e-05
125440 91.875 1.79716920385251e-05 1.78756987288663e-05 1.79728388820092e-05
125952 92.25 2.20858945772115e-05 2.20932688156171e-05 2.20900741039271e-05
126464 92.625 1.96343282419374e-05 1.96406764098976e-05 1.96349274990585e-05
126976 93 1.37272135185708e-05 1.37337051088189e-05 1.37412228405354e-05
127488 93.375 1.28817791186099e-05 1.29127274437709e-05 1.28956402736632e-05
128000 93.75 1.74674594762328e-05 1.74703725021296e-05 1.74762571538451e-05
128512 94.125 1.22700009464955e-05 1.22694410616594e-05 1.22755159493677e-05
129024 94.5 1.42523411209532e-05 1.42294227553476e-05 1.4244327592296e-05
129536 94.875 1.36227096533897e-05 1.36314612027616e-05 1.36257915387614e-05
130048 95.25 1.53347297845545e-05 1.53297223082301e-05 1.53280851792322e-05
130560 95.625 1.34827703245593e-05 1.34787309012534e-05 1.34845958455707e-05
131072 96 1.19865181161066e-05 1.19968314302943e-05 1.19873992709482e-05
131584 96.375 1.37321815561014e-05 1.37437814761084e-05 1.37270462732439e-05
132096 96.75 1.70626377840134e-05 1.70655214510561e-05 1.7054645572931e-05
132608 97.125 1.70978129463224e-05 1.70772600764985e-05 1.70940561102848e-05
133120 97.5 1.48066433931568e-05 1.48002715307039e-05 1.48058444918488e-05
133632 97.875 1.60870054846919e-05 1.60889763150663e-05 1.60824269368511e-05
134144 98.25 1.3895451973209e-05 1.39019490027156e-05 1.38986378747069e-05
134656 98.625 1.42511995735602e-05 1.42523139123192e-05 1.42514770982074e-05
135168 99 1.72396675851666e-05 1.7238860587825e-05 1.72412767354896e-05
135680 99.375 1.16844795684381e-05 1.16844841819912e-05 1.16843249816302e-05
136192 99.75 2.16870402760462e-05 2.16787321589515e-05 2.16718591000282e-05
136704 100.125 1.66805381363484e-05 1.66746868341997e-05 1.66760005159402e-05
137216 100.5 1.74451000518428e-05 1.74447611520783e-05 1.74451394139081e-05
137728 100.875 1.55696905422921e-05 1.55678139418121e-05 1.55708538079591e-05
138240 101.25 1.91105260202346e-05 1.91095385332864e-05 1.91047099938763e-05
138752 101.625 1.01139729043755e-05 1.01145171589724e-05 1.0118099278135e-05
139264 102 1.32455823279308e-05 1.32502898711789e-05 1.32463978735305e-05
139776 102.375 1.63904891577902e-05 1.63977773850113e-05 1.63979025157719e-05
140288 102.75 1.16629554842976e-05 1.16666665022901e-05 1.16683001724525e-05
140800 103.125 1.13700527490981e-05 1.13727213785315e-05 1.13758519830313e-05
141312 103.5 1.3082516799731e-05 1.3087636478557e-05 1.30897407555831e-05
141824 103.875 1.54680757575951e-05 1.54741992885422e-05 1.54753287071258e-05
142336 104.25 1.8497062752079e-05 1.8509054511038e-05 1.85007310871489e-05
142848 104.625 1.2679383846619e-05 1.2680644048297e-05 1.26718541045695e-05
143360 105 1.60037243499739e-05 1.60001045119887e-05 1.60121412306132e-05
143872 105.375 1.03703121480355e-05 1.037235362049e-05 1.0374045081337e-05
144384 105.75 1.53837747808103e-05 1.53840112135614e-05 1.53853073589473e-05
144896 106.125 1.36430522829103e-05 1.36454387065077e-05 1.36429452005575e-05
145408 106.5 1.18684260984659e-05 1.18665939344437e-05 1.18683398914734e-05
145920 106.875 1.35865279397031e-05 1.35785009225585e-05 1.35760464704221e-05
146432 107.25 1.09992660605141e-05 1.10044382777915e-05 1.1015184797494e-05
146944 107.625 1.54855800215272e-05 1.54950080262741e-05 1.54988369297534e-05
147456 108 1.43069334590065e-05 1.43197703526317e-05 1.43162812108668e-05
147968 108.375 1.59249744867188e-05 1.59317175657245e-05 1.59242561172574e-05
148480 108.75 1.17340981591018e-05 1.17334559235687e-05 1.17325367700562e-05
148992 109.125 1.34690137629215e-05 1.34669773474864e-05 1.34566296586087e-05
149504 109.5 1.09016169835495e-05 1.08963924113292e-05 1.09044253670978e-05
150016 109.875 1.52431621054276e-05 1.52464859010805e-05 1.52461188172225e-05
150528 110.25 1.92726386720991e-05 1.92766755222108e-05 1.92758533448915e-05
151040 110.625 1.40565596553571e-05 1.40528852780851e-05 1.40574617549734e-05
151552 111 8.24644093844687e-06 8.3311373991925e-06 8.23647667145962e-06
152064 111.375 9.81834117544732e-06 9.82960093428174e-06 9.81578505416849e-06
152576 111.75 1.41607652592901e-05 1.41586475361576e-05 1.41651313274428e-05
153088 112.125 9.98445744675827e-06 9.9763830579338e-06 9.97585291453197e-06
153600 112.5 8.81746195717114e-06 8.68428476887602e-06 8.82770854112235e-06
154112 112.875 1.23825472124024e-05 1.23736483441052e-05 1.23826797415427e-05
154624 113.25 1.69041703396948e-05 1.68931806985056e-05 1.69042983782103e-05
155136 113.625 1.13442390000628e-05 1.13398806175011e-05 1.13425990527327e-05
155648 114 9.70531613429371e-06 9.70867527352135e-06 9.69568036699724e-06
156160 114.375 1.10489513282799e-05 1.10577096060904e-05 1.10445953780725e-05
156672 114.75 1.45812513306578e-05 1.45922399572168e-05 1.45900521352123e-05
157184 115.125 9.82911335553204e-06 9.82826903557457e-06 9.83620292484708e-06
157696 115.5 1.14756285055691e-05 1.14701177030914e-05 1.14758014767976e-05
158208 115.875 1.19997746371524e-05 1.20024836865931e-05 1.20178142366422e-05
158720 116.25 1.02421908897273e-05 1.02356105116734e-05 1.02369780129811e-05
159232 116.625 1.30821368775507e-05 1.30683059603118e-05 1.30767158916629e-05
159744 117 1.09515322822642e-05 1.09496076951366e-05 1.09461711634552e-05
160256 117.375 8.76656944701075e-06 8.7753558506228e-06 8.76348671794288e-06
160768 117.75 9.14435153773091e-06 9.14177602348772e-06 9.14549436202867e-06
161280 118.125 8.69917506953428e-06 8.6934998538405e-06 8.69364161863071e-06
161792 118.5 9.87629284466523e-06 9.88357000186739e-06 9.89178869382449e-06
162304 118.875 1.12720575724973e-05 1.12764910355307e-05 1.12698271543591e-05
162816 119.25 1.17774542383337e-05 1.17667361454384e-05 1.17745762081148e-05
163328 119.625 8.50773059577335e-06 8.48439099412955e-06 8.49648569514303e-06
