# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
228864 167.625 0.00370719028305812
229376 168 0.00370721137198445
229888 168.375 0.0037072287406596
230400 168.75 0.0037072427945293
230912 169.125 0.00370725466052606
231424 169.5 0.00370726383803923
231936 169.875 0.00370726935150176
232448 170.25 0.00370727063528292
232960 170.625 0.00370726858327389
233472 171 0.00370726440483027
233984 171.375 0.00370725721091109
234496 171.75 0.00370724582555042
235008 172.125 0.00370723042075413
235520 172.5 0.00370721200864379
236032 172.875 0.00370719122193602
236544 173.25 0.00370716730723258
237056 173.625 0.00370713923439196
237568 174 0.00370710746164324
238080 174.375 0.003707073050082
238592 174.75 0.00370703587523785
239104 175.125 0.00370699554449624
239616 175.5 0.00370695171152976
240128 175.875 0.00370690399347167
240640 176.25 0.00370685358967983
241152 176.625 0.00370680098298055
241664 177 0.00370674458593337
242176 177.375 0.0037066842810543
242688 177.75 0.00370662118328471
243200 178.125 0.00370655543624888
243712 178.5 0.00370648639212697
244224 178.875 0.00370641343263892
244736 179.25 0.00370633692959245
245248 179.625 0.00370625758946233
245760 180 0.00370617539858353
246272 180.375 0.00370608917101018
246784 180.75 0.00370599845793095
247296 181.125 0.00370590482738836
247808 181.5 0.00370580820625921
248320 181.875 0.00370570753423485
248832 182.25 0.0037056028081253
249344 182.625 0.00370549377070166
249856 183 0.003705381235881
250368 183.375 0.0037052656973537
250880 183.75 0.00370514573123929
251392 184.125 0.00370502114142102
251904 184.5 0.00370489298176286
252416 184.875 0.00370476134264695
252928 185.25 0.0037046259438879
253440 185.625 0.00370448663616225
253952 186 0.00370434322769229
254464 186.375 0.0037041963090209
254976 186.75 0.00370404646488896
255488 187.125 0.00370389339575448
256000 187.5 0.00370373685666422
256512 187.875 0.00370357718198952
257024 188.25 0.00370341526382378
257536 188.625 0.00370325123007684
258048 189 0.00370308475837126
