# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 5.625 459.866004460548 345.448269081138 48.634553194046 44.0345661640167 43.3176221847534 0 5.32593512535095 105 512858.918965673 512858.918965673 22583520 22583520 370950.401535874 370950.401535874 16334640 16334640 330.641867823276 826966.156287402 6667.38009916673 820298.776188235 1762 4397129 35657 4361472 0 0 0 0 48.5455296039581 1718376797.1261 23019
8192 6 462.978115073568 351.879313352233 51.2544600963593 46.65447306633 45.8231887817383 0 5.47837018966675 112 516329.655374135 516329.655374135 24089088 24089088 373460.782103966 373460.782103966 17423616 17423616 357.190773139527 932288.355098196 6803.37951457663 925484.975583619 2022 5461911 37143 5424768 0 0 0 0 51.1592535972595 1718376799.74601 24527
8704 6.375 465.748319494039 357.759358092308 53.8755271434784 49.2755401134491 48.3787112236023 0 5.50650978088379 119 519419.08584 519419.08584 25594656 25594656 375695.364421733 375695.364421733 18512592 18512592 371.851637346821 993869.010647739 6976.22051728892 986892.79013045 2048 5463322 38554 5424768 0 0 0 0 53.7746574878693 1718376802.36708 26035
9216 6.75 468.469198554025 363.160625527055 56.4710600376129 51.8710730075836 50.8999826908112 0 5.59482455253601 126 522453.506910064 522453.506910064 27100224 27100224 377890.158492272 377890.158492272 19601568 19601568 384.485776567019 983991.364461497 7151.93803993291 976839.426421564 2182 5491889 40049 5451840 0 0 0 0 56.3640928268433 1718376804.96261 27543
9728 7.125 471.259569736852 368.100070484726 59.028589963913 54.4286029338837 53.4148998260498 0 5.62306809425354 133 525565.428066351 525565.428066351 28605792 28605792 380141.008306488 380141.008306488 20690544 20690544 392.61162370443 978529.249940212 7360.57726473096 971168.672675481 2208 5493367 41527 5451840 0 0 0 0 58.9158551692963 1718376807.52014 29051
10240 7.5 473.13320182979 372.857278246451 61.6663689613342 57.0663819313049 55.9358446598053 0 5.77986288070679 140 527654.969194425 527654.969194425 30111360 30111360 381652.371552443 381652.371552443 21779520 21779520 416.366788526384 1074901.12176238 7472.0911642545 1067429.03059812 2468 6558159 43023 6515136 0 0 0 0 61.547455072403 1718376810.15792 30559
10752 7.875 474.6724081866 377.28550874091 64.3253881931305 59.7254011631012 58.528338432312 0 5.80708456039429 147 529371.546850876 529371.546850876 31616928 31616928 382893.970649934 382893.970649934 22868496 22868496 429.528829790214 1131511.41884866 7640.43812412375 1123870.98072454 2494 6559641 44505 6515136 0 0 0 0 64.2008051872253 1718376812.81694 32067
11264 8.25 476.389410664673 381.359801408352 66.9439420700073 62.343955039978 61.0734612941742 0 5.89725184440613 154 531286.4090634 531286.4090634 33122496 33122496 384278.988791091 384278.988791091 23957472 23957472 440.849752997056 1120561.88431456 7805.32323496062 1112756.5610796 2628 6588238 46030 6542208 0 0 0 0 66.813206911087 1718376815.43549 33575
11776 8.625 478.328513422622 385.104612218441 69.513533115387 64.9135460853577 63.5967423915863 0 5.92691373825073 161 533448.965404941 533448.965404941 34628064 34628064 385843.163876232 385843.163876232 25046448 25046448 447.877933106576 1113699.8598739 7997.74780095709 1105702.11207295 2654 6589741 47533 6542208 0 0 0 0 69.3770015239716 1718376818.00508 35083
12288 9 479.431607494976 388.762752940031 72.1800119876862 67.5800249576569 66.1460769176483 0 6.08190560340881 168 534679.175135552 534679.175135552 36133632 36133632 386732.973484036 386732.973484036 26135424 26135424 469.345454852937 1202556.36094448 8096.04336688589 1194460.3175776 2914 7654552 49048 7605504 0 0 0 0 72.0372750759125 1718376820.67156 36591
12800 9.375 481.000556248093 392.086378433183 74.7662260532379 70.1662390232086 68.6657731533051 0 6.11095881462097 175 536428.922569873 536428.922569873 37639200 37639200 387998.564252462 387998.564252462 27224400 27224400 481.275742663682 1254953.38224548 8242.01101537123 1246711.37123011 2940 7655996 50492 7605504 0 0 0 0 74.6176643371582 1718376823.25778 38099
13312 9.75 482.288808323204 395.263696233116 77.3779561519623 72.777969121933 71.2035048007965 0 6.19928956031799 182 537865.627088555 537865.627088555 39144768 39144768 389037.731357459 389037.731357459 28313376 28313376 491.379691480955 1242959.66775266 8391.02894384583 1234568.63880882 3074 7684592 52016 7632576 0 0 0 0 77.223269701004 1718376825.86951 39607
13824 10.125 483.696873320164 398.227725402259 79.9571001529694 75.3571131229401 73.7392063140869 0 6.22825503349304 189 539435.951237698 539435.951237698 40650336 40650336 390173.54542274 390173.54542274 29402352 29402352 497.917796640357 1236091.54468636 8573.64268052243 1227517.90200584 3100 7686103 53527 7632576 0 0 0 0 79.7966315746307 1718376828.44865 41115
14336 10.5 484.590781490373 401.113929935696 82.6039471626282 78.0039601325989 76.2670636177063 0 6.38327693939209 196 540432.869412517 540432.869412517 42155904 42155904 390894.615455008 390894.615455008 30491328 30491328 517.288976002543 1318081.50501572 8658.04138754713 1309423.46362818 3360 8750946 55074 8695872 0 0 0 0 82.4372272491455 1718376831.0955 42623
14848 10.875 485.77564483701 403.777916042713 85.1927471160889 80.5927600860596 78.7902953624725 0 6.41198587417603 203 541754.271145161 541754.271145161 43661472 43661472 391850.384157057 391850.384157057 31580304 31580304 528.235140247597 1367013.97164866 8804.28344784649 1358209.68820081 3386 8752457 56585 8695872 0 0 0 0 85.0203104019165 1718376833.6843 44131
15360 11.25 486.674971813807 406.350035498088 87.8177449703217 83.2177579402924 81.3406558036804 0 6.50460171699524 210 542757.232565755 542757.232565755 45167040 45167040 392575.825263639 392575.825263639 32669280 32669280 537.27838392637 1354169.4076366 8942.9060662503 1345226.50157035 3520 8781081 58137 8722944 0 0 0 0 87.6392374038696 1718376836.3093 45639
15872 11.625 487.80519108799 408.748388706942 90.392431974411 85.7924449443817 83.86847615242 0 6.53400492668152 217 544017.693285899 544017.693285899 46672608 46672608 393487.515385359 393487.515385359 33758256 33758256 542.92213139467 1346176.95760543 9113.33577698196 1337063.62182844 3546 8782615 59671 8722944 0 0 0 0 90.2077481746674 1718376838.88398 47147
16384 12 488.173014093774 411.146334209316 93.0932030677795 88.4932160377502 86.455717086792 0 6.68330025672913 224 544427.9025801 544427.9025801 48178176 48178176 393784.219404282 393784.219404282 34847232 34847232 561.055798937587 1423585.98226284 9190.22656691535 1414395.75569593 3806 9847441 61201 9786240 0 0 0 0 92.87961602211 1718376841.58475 48655
16896 12.375 488.825300383837 413.360677891042 95.7368409633636 91.1368539333344 89.036712884903 0 6.7096848487854 231 545155.355443179 545155.355443179 49683744 49683744 394310.385415399 394310.385415399 35936208 35936208 571.332361885156 1469924.58721217 9319.67258965381 1460604.91462252 3832 9848899 62659 9786240 0 0 0 0 95.5398392677307 1718376844.22839 50163
17408 12.75 489.684444713622 415.441885078756 98.333820104599 93.7338330745697 91.5579566955566 0 6.80332469940186 238 546113.50374711 546113.50374711 51189312 51189312 395003.413234416 395003.413234416 37025184 37025184 579.40955462012 1456274.04277835 9444.40525684156 1446829.63752151 3966 9877519 64207 9813312 0 0 0 0 98.1307084560394 1718376846.82537 51671
17920 13.125 490.598741466975 417.416893111337 100.910874128342 96.3108870983124 94.0885474681854 0 6.83085656166077 245 547133.159994779 547133.159994779 52694880 52694880 395740.929694623 395740.929694623 38114160 38114160 584.55131198726 1448014.51060594 9603.17546543564 1438411.3351405 3992 9879045 65733 9813312 0 0 0 0 100.70188832283 1718376849.40243 53179
18432 13.5 491.103155591958 419.365293517138 103.560866117477 98.9608790874481 96.622100353241 0 6.98632049560547 252 547695.700561684 547695.700561684 54200448 54200448 396147.81478808 396147.81478808 39203136 39203136 600.971432339289 1519790.02582175 9665.55181119882 1510124.47401055 4252 10943881 67273 10876608 0 0 0 0 103.345693588257 1718376852.05242 54687
18944 13.875 491.863436628556 421.183406244904 106.152565002441 101.552577972412 99.1472432613373 0 7.0150625705719 259 548543.593005912 548543.593005912 55706016 55706016 396761.094641495 396761.094641495 40292112 40292112 610.107595047642 1562408.32391446 9787.55902069293 1552620.76489376 4278 10945388 68780 10876608 0 0 0 0 105.931719779968 1718376854.64412 56195
19456 14.25 492.428201341049 422.955412557314 108.777611017227 104.177623987198 101.699879646301 0 7.10289311408997 266 549173.438693808 549173.438693808 57211584 57211584 397216.661469311 397216.661469311 41381088 41381088 617.712056430881 1549084.2228116 9906.28159299973 1539177.9412186 4412 10974004 70324 10903680 0 0 0 0 108.550559282303 1718376857.26916 57703
19968 14.625 493.202678706354 424.620936381617 111.351232051849 106.75124502182 104.228868246078 0 7.29704308509827 273 550037.163388569 550037.163388569 58717152 58717152 397841.392775504 397841.392775504 42470064 42470064 622.546126667577 1540964.95198789 10057.4755732022 1530907.47641469 4438 10975530 71850 10903680 0 0 0 0 111.118622541428 1718376859.84278 59211
20480 15 492.832989222119 426.353745064738 114.170574188232 109.570587158203 106.748514175415 0 7.47052073478699 280 549624.872531235 549624.872531235 60222720 60222720 397543.183163812 397543.183163812 43559040 43559040 621.92975966625 1568560.88200515 9860.46998725618 1558700.4120179 4698 12040362 73386 11966976 0 0 0 0 113.931802988052 1718376862.66213 60719
