# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
11776 8.625 7.07045307502977e-06 7.07045320094392e-06 7.07045303393387e-06
12288 9 7.41605330287733e-06 7.41605326449624e-06 7.41605322663688e-06
12800 9.375 7.33134164356036e-06 7.33134156557536e-06 7.33134155843784e-06
13312 9.75 7.31889850237595e-06 7.3188983831698e-06 7.31889836320985e-06
13824 10.125 7.44657710264381e-06 7.44657592421943e-06 7.44657691379236e-06
14336 10.5 7.31615502603641e-06 7.31615502776778e-06 7.31615503166497e-06
14848 10.875 7.4343573675416e-06 7.43435622757596e-06 7.43435718804216e-06
15360 11.25 7.44162285764289e-06 7.44162286120984e-06 7.44162286858352e-06
15872 11.625 7.83971249404268e-06 7.8397124927316e-06 7.83971246740525e-06
16384 12 8.08366440718859e-06 8.08366441989352e-06 8.08366437441601e-06
16896 12.375 7.8346325810604e-06 7.83463263167271e-06 7.83463260483947e-06
17408 12.75 7.77805988189206e-06 7.77805993725972e-06 7.77805988945014e-06
17920 13.125 8.04368531176406e-06 8.04368535360099e-06 8.04368528428121e-06
18432 13.5 8.17702180443575e-06 8.17702178731916e-06 8.1770218955571e-06
18944 13.875 8.076573603133e-06 8.07657353969416e-06 8.07657371491072e-06
19456 14.25 8.02679630991906e-06 8.02679626469708e-06 8.02679638932881e-06
19968 14.625 7.98753244094688e-06 7.98753243020769e-06 7.98753253235172e-06
20480 15 7.92804109352898e-06 7.92804096398771e-06 7.92804103200905e-06
20992 15.375 7.8642722591995e-06 7.86427260364849e-06 7.86427255229752e-06
21504 15.75 7.68167392869165e-06 7.68167494041634e-06 7.68167461807413e-06
22016 16.125 7.52821792749178e-06 7.52821667077606e-06 7.52821750896856e-06
22528 16.5 7.37999400031491e-06 7.37999094908698e-06 7.37999306224235e-06
23040 16.875 7.13928732097311e-06 7.13928688321721e-06 7.13928737743026e-06
23552 17.25 6.91975937718801e-06 6.91975992544865e-06 6.91975985483699e-06
24064 17.625 7.49408568170265e-06 7.49408336183537e-06 7.4940879483496e-06
24576 18 9.33013324474952e-06 9.33013503387592e-06 9.33013362409711e-06
25088 18.375 1.0959107863244e-05 1.09591118629916e-05 1.09591097776017e-05
25600 18.75 1.26149127590693e-05 1.26149176068796e-05 1.26149205709949e-05
26112 19.125 1.38150994745865e-05 1.3815101906965e-05 1.38151038832584e-05
26624 19.5 1.46031790397076e-05 1.4603182733457e-05 1.4603186763204e-05
27136 19.875 1.52844156151124e-05 1.52844177114061e-05 1.52844206610643e-05
27648 20.25 1.53545877827027e-05 1.53545926463206e-05 1.53545896516243e-05
28160 20.625 1.53351297019267e-05 1.53351316358918e-05 1.5335133297236e-05
28672 21 1.49300659730523e-05 1.49300697420907e-05 1.49300677818943e-05
29184 21.375 1.4788636974652e-05 1.4788647327582e-05 1.47886357171105e-05
29696 21.75 1.60430912238145e-05 1.60431531331778e-05 1.60431448216712e-05
30208 22.125 1.64984392456206e-05 1.64985080525201e-05 1.64984873851544e-05
30720 22.5 1.56564240883727e-05 1.56564960785371e-05 1.56564602251432e-05
31232 22.875 1.36166574819189e-05 1.36166776922636e-05 1.36166353062167e-05
31744 23.25 1.26222794547423e-05 1.26222763585317e-05 1.26222732031697e-05
32256 23.625 1.12563880011781e-05 1.12563702565693e-05 1.12563905386787e-05
32768 24 8.4019131833031e-06 8.40191862511732e-06 8.40194467973683e-06
33280 24.375 5.10574522817509e-06 5.10573250534475e-06 5.10573889158228e-06
33792 24.75 5.82295577014531e-06 5.82294029386943e-06 5.82296173047184e-06
34304 25.125 5.81840687300512e-06 5.81840072845548e-06 5.81840057590045e-06
34816 25.5 4.64634342330737e-06 4.6463330305172e-06 4.64632641846468e-06
35328 25.875 4.0815984578655e-06 4.08159863187138e-06 4.08160621568795e-06
35840 26.25 3.51219942900759e-06 3.51215055041433e-06 3.51219076153129e-06
36352 26.625 3.45628813568497e-06 3.45622659598225e-06 3.45627006132935e-06
36864 27 3.0323911212954e-06 3.032412435293e-06 3.03242090170189e-06
37376 27.375 3.73422350302453e-06 3.73420224823569e-06 3.73422277925448e-06
37888 27.75 2.78927142840817e-06 2.78926210424478e-06 2.78929363423241e-06
38400 28.125 1.70664524110118e-06 1.706940749573e-06 1.70704491213971e-06
38912 28.5 1.89739729522492e-06 1.89738805989637e-06 1.89738737106222e-06
39424 28.875 2.27483672703915e-06 2.27478213624789e-06 2.27508436252668e-06
39936 29.25 3.05939910458182e-06 3.05934131689204e-06 3.05974558022188e-06
40448 29.625 3.3822025288058e-06 3.38214696993935e-06 3.38199816187408e-06
40960 30 2.57814875086026e-06 2.57805242798302e-06 2.57805447722198e-06
41472 30.375 2.11681135773791e-06 2.11671367373822e-06 2.11672239529209e-06
41984 30.75 2.01666944423845e-06 2.01668661534443e-06 2.01667295476948e-06
42496 31.125 1.95088458219241e-06 1.95087075291791e-06 1.95089467923711e-06
43008 31.5 2.01345130127279e-06 2.01344581239255e-06 2.01344661557842e-06
43520 31.875 1.76989367751125e-06 1.76985555278281e-06 1.76993764326552e-06
44032 32.25 2.24444967205266e-06 2.24434716951832e-06 2.24449165798767e-06
44544 32.625 2.43525781893558e-06 2.43525431697224e-06 2.43520070060526e-06
45056 33 1.83667683795205e-06 1.83668582767305e-06 1.83660230909762e-06
45568 33.375 1.51039797173489e-06 1.51038336986164e-06 1.51039059652593e-06
46080 33.75 1.46448806055959e-06 1.46447993813618e-06 1.4644856867485e-06
46592 34.125 1.57731009692832e-06 1.57729744508833e-06 1.57730404186253e-06
47104 34.5 1.81965242540529e-06 1.81958163060823e-06 1.81955942462114e-06
47616 34.875 1.90643319764586e-06 1.9062757495846e-06 1.90632398272436e-06
48128 35.25 1.37607145432366e-06 1.37606439451229e-06 1.37606876311851e-06
48640 35.625 1.34603732341148e-06 1.34605360342784e-06 1.34605377022883e-06
49152 36 2.18902993025798e-06 2.18928025941808e-06 2.18903527922157e-06
49664 36.375 2.55309567510994e-06 2.5532246758623e-06 2.55301195029216e-06
50176 36.75 2.62049220773847e-06 2.62046547902532e-06 2.6204341653333e-06
50688 37.125 2.43324075635254e-06 2.43325561389739e-06 2.43424767909332e-06
51200 37.5 2.60854226330058e-06 2.60860484138197e-06 2.60963897267718e-06
51712 37.875 2.28334187559924e-06 2.28334292072594e-06 2.28428196351745e-06
52224 38.25 2.5893849731595e-06 2.5894582113227e-06 2.58958665753141e-06
52736 38.625 2.7208338126746e-06 2.72077038668921e-06 2.72071188780647e-06
53248 39 2.71821961564195e-06 2.71827093029109e-06 2.71927825818738e-06
53760 39.375 2.66201645199536e-06 2.66213536165169e-06 2.66329612973519e-06
54272 39.75 2.26949310154827e-06 2.26957476891842e-06 2.27035936106725e-06
54784 40.125 2.5827050540727e-06 2.58298521124727e-06 2.5830170320994e-06
55296 40.5 2.58950326014273e-06 2.58987385333524e-06 2.58992969692862e-06
55808 40.875 2.39515163633513e-06 2.39558872137198e-06 2.39565713697496e-06
56320 41.25 2.09600307152757e-06 2.09599654199189e-06 2.09684438029641e-06
56832 41.625 3.75759656260126e-06 3.75808610563927e-06 3.75788446058424e-06
