# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 3.77219053271138e-06
512 0.375 2.22171995367886e-05
1024 0.75 3.32383848410927e-05
1536 1.125 3.89277951962147e-05
2048 1.5 4.01725488415184e-05
2560 1.875 3.98696122582419e-05
3072 2.25 4.04572140619407e-05
3584 2.625 4.17308080829105e-05
4096 3 4.22587343034612e-05
4608 3.375 4.19534651970181e-05
5120 3.75 4.18816832658781e-05
5632 4.125 4.24021839855586e-05
6144 4.5 4.28074842032402e-05
6656 4.875 4.27190518327003e-05
7168 5.25 4.26133208339165e-05
7680 5.625 4.28702843337306e-05
8192 6 4.31812562044117e-05
8704 6.375 4.31895988767565e-05
9216 6.75 4.31074642873657e-05
9728 7.125 4.32494241054772e-05
10240 7.5 4.3496201872618e-05
10752 7.875 4.35571470191375e-05
11264 8.25 4.35046413453155e-05
11776 8.625 4.35857696165738e-05
12288 9 4.37836085420071e-05
12800 9.375 4.38793187193834e-05
13312 9.75 4.38541431755766e-05
13824 10.125 4.3905120895038e-05
14336 10.5 4.40655626192177e-05
14848 10.875 4.41780630718989e-05
15360 11.25 4.41839658381108e-05
15872 11.625 4.42183682836618e-05
16384 12 4.43586752551506e-05
16896 12.375 4.44751551856052e-05
17408 12.75 4.45103027517932e-05
17920 13.125 4.45498189697287e-05
18432 13.5 4.46636057858366e-05
18944 13.875 4.4790713055422e-05
19456 14.25 4.48483740336898e-05
19968 14.625 4.4892929629594e-05
20480 15 4.49937060074608e-05
20992 15.375 4.51297840560775e-05
21504 15.75 4.52116117972507e-05
22016 16.125 4.52563401108713e-05
22528 16.5 4.53539241287706e-05
23040 16.875 4.54856250358495e-05
23552 17.25 4.55837053999746e-05
24064 17.625 4.56509550144206e-05
24576 18 4.5743989968239e-05
25088 18.375 4.58680214260689e-05
25600 18.75 4.59793402692966e-05
26112 19.125 4.60678170361096e-05
26624 19.5 4.61603630419675e-05
