# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
10240 7.5 -0.0695038308431051 -0.0695038308433471 -0.0695038308433056
10752 7.875 -0.0722330103457293 -0.0722330103459383 -0.0722330103459294
11264 8.25 -0.0750792283472023 -0.0750792283473069 -0.0750792283474228
11776 8.625 -0.0780852680235169 -0.0780852680236189 -0.0780852680237672
12288 9 -0.0809744843926719 -0.0809744843927682 -0.0809744843930186
12800 9.375 -0.0837496493901994 -0.0837496493903305 -0.0837496493907325
13312 9.75 -0.0864141347947939 -0.0864141347951254 -0.0864141347956204
13824 10.125 -0.0890095575242315 -0.0890095575244051 -0.0890095575250073
14336 10.5 -0.0918716179618054 -0.0918716179610328 -0.0918716179620735
14848 10.875 -0.0946317546991381 -0.094631754698935 -0.0946317547000204
15360 11.25 -0.0973764551995129 -0.0973764551993362 -0.0973764552007555
15872 11.625 -0.100033561845085 -0.10003356184402 -0.100033561845637
16384 12 -0.102660294123917 -0.102660294122201 -0.102660294124867
16896 12.375 -0.105240750625927 -0.105240750621687 -0.105240750624419
17408 12.75 -0.107734700492114 -0.10773470049063 -0.107734700493167
17920 13.125 -0.110146053210137 -0.110146053205888 -0.110146053207996
18432 13.5 -0.112478090857748 -0.112478090856101 -0.112478090858203
18944 13.875 -0.114732839954767 -0.114732839952031 -0.114732839956291
19456 14.25 -0.116911759384576 -0.11691175937546 -0.116911759386804
19968 14.625 -0.119016737458464 -0.119016737298163 -0.119016737443779
20480 15 -0.121256283896098 -0.121256283898973 -0.121256283897067
20992 15.375 -0.123420578977649 -0.123420222064265 -0.123420573810241
21504 15.75 -0.125514535597572 -0.125511168620573 -0.125514495853473
22016 16.125 -0.127545385458996 -0.127536339535896 -0.127545479931688
22528 16.5 -0.129509415072828 -0.129492021913614 -0.129509872702649
23040 16.875 -0.131413555906437 -0.131386139468011 -0.131414426598234
23552 17.25 -0.133265260136083 -0.133227222231268 -0.133262682361586
24064 17.625 -0.134997544350401 -0.135021603716408 -0.134970720672762
24576 18 -0.136668948800335 -0.136691178344971 -0.13666867890091
25088 18.375 -0.138312661113799 -0.138313277842901 -0.13831234878022
25600 18.75 -0.13989594981717 -0.139896672155577 -0.139895595008981
26112 19.125 -0.141421941790187 -0.141422755312513 -0.141421547530186
26624 19.5 -0.142894001016117 -0.142894892330555 -0.142893571902047
27136 19.875 -0.144315304037941 -0.144316277066388 -0.144314847942153
27648 20.25 -0.145687882105503 -0.145688967121307 -0.145687411647044
28160 20.625 -0.147013125910523 -0.147014327681709 -0.147012642057044
28672 21 -0.148292324709799 -0.148293542117663 -0.148291809959382
29184 21.375 -0.149526219415176 -0.149527251959569 -0.149525668604138
29696 21.75 -0.150715845091215 -0.150716952594025 -0.150715257705465
30208 22.125 -0.151880620435141 -0.151863697800723 -0.151871064701238
30720 22.5 -0.153125149259842 -0.153002042826584 -0.153115852055222
31232 22.875 -0.154324663867799 -0.154205977629971 -0.154315653549737
31744 23.25 -0.155481272767278 -0.155367081480426 -0.155472569509209
32256 23.625 -0.15659653129232 -0.156486839502436 -0.156588147363215
32768 24 -0.15767174305434 -0.157566506097494 -0.157663683655367
33280 24.375 -0.158707920336748 -0.158607069381535 -0.158700184980716
33792 24.75 -0.159759250537861 -0.159707677858246 -0.159750457457178
34304 25.125 -0.160835030479213 -0.160785189788548 -0.160826512674456
34816 25.5 -0.161869337004513 -0.16182122042656 -0.161861082453099
35328 25.875 -0.162862273727579 -0.162815899181589 -0.162854267119397
35840 26.25 -0.163814617738646 -0.163769950272658 -0.163806862558091
36352 26.625 -0.164727049986879 -0.164684031858035 -0.164719542758234
36864 27 -0.165599789820157 -0.165558363047556 -0.165592517981231
37376 27.375 -0.166433497524995 -0.166393608704056 -0.166426449198099
37888 27.75 -0.167228260751677 -0.167189856539082 -0.167221429541347
38400 28.125 -0.168067603913768 -0.167959339016587 -0.16806232159883
38912 28.5 -0.168926683398637 -0.16882312241561 -0.168921676543109
39424 28.875 -0.169732701273019 -0.169633606852408 -0.169727953862698
39936 29.25 -0.170487146687331 -0.170392199655284 -0.170482643229932
40448 29.625 -0.171190076307883 -0.171099019343403 -0.171185804277934
40960 30 -0.171840056556944 -0.171752672552535 -0.171836005916831
41472 30.375 -0.172436566118299 -0.172352558396483 -0.172432729240309
41984 30.75 -0.172980472106494 -0.172900845510825 -0.172976845474478
42496 31.125 -0.173475339752025 -0.173403169655757 -0.173471919297251
43008 31.5 -0.173929894299162 -0.173868743973818 -0.173926682876628
43520 31.875 -0.17435502324719 -0.1743077340282 -0.174352034824087
