# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
29184 21.375 -7.22917781303963e-06 -7.22918285511981e-06 -7.22919566125187e-06
29696 21.75 -7.58460934571267e-06 -7.58462311242873e-06 -7.58462320585228e-06
30208 22.125 -9.34338969239587e-06 -9.34335653939746e-06 -9.34337517106246e-06
30720 22.5 -1.10020450764766e-05 -1.10020132397809e-05 -1.10020536714402e-05
31232 22.875 -1.21241829226337e-05 -1.21241671301901e-05 -1.21242015561905e-05
31744 23.25 -1.29179808497141e-05 -1.29179929737725e-05 -1.29179923685696e-05
32256 23.625 -1.37977123141911e-05 -1.37977420815594e-05 -1.37977229101021e-05
32768 24 -1.5344404095568e-05 -1.5344400837753e-05 -1.5344415479854e-05
33280 24.375 -1.75552936491004e-05 -1.75552599824365e-05 -1.75553351085975e-05
33792 24.75 -1.94447004479226e-05 -1.94447227165511e-05 -1.94447377164989e-05
34304 25.125 -2.08556749893077e-05 -2.08556541083455e-05 -2.08556626994364e-05
34816 25.5 -2.17113438425004e-05 -2.17113444734713e-05 -2.17113890727899e-05
35328 25.875 -2.26646105055631e-05 -2.26646497948847e-05 -2.26646885322403e-05
35840 26.25 -2.39477432249126e-05 -2.39477990191037e-05 -2.39477838007034e-05
36352 26.625 -2.64868524781734e-05 -2.64868535506766e-05 -2.64868259437819e-05
36864 27 -3.20139652819219e-05 -3.20139323400571e-05 -3.20138926030058e-05
37376 27.375 -3.56387141541684e-05 -3.56388121453774e-05 -3.56387618065661e-05
37888 27.75 -3.9576519261618e-05 -3.95765867346961e-05 -3.95765623700878e-05
38400 28.125 -4.27619857659894e-05 -4.27620513513502e-05 -4.2762030903671e-05
38912 28.5 -4.44686467066606e-05 -4.44686983074489e-05 -4.44687190750668e-05
39424 28.875 -4.42628400559962e-05 -4.42629029982804e-05 -4.42629434863356e-05
39936 29.25 -4.27128163763565e-05 -4.27128475116664e-05 -4.27128198732388e-05
40448 29.625 -4.06189957175563e-05 -4.06190324059873e-05 -4.0619085269338e-05
40960 30 -3.80190792803933e-05 -3.80190572020341e-05 -3.80190743349996e-05
41472 30.375 -4.02645303503067e-05 -4.02644197919975e-05 -4.02644381507312e-05
41984 30.75 -4.08617528346603e-05 -4.08619073600289e-05 -4.08618243645636e-05
42496 31.125 -4.01202942559087e-05 -4.01202922721065e-05 -4.01202927160511e-05
43008 31.5 -3.91722272383837e-05 -3.91722872048295e-05 -3.91722857814596e-05
43520 31.875 -4.10655384850164e-05 -4.10656000896842e-05 -4.10656034103872e-05
44032 32.25 -4.23959862328736e-05 -4.23959567025218e-05 -4.2396000320281e-05
44544 32.625 -4.09759540592164e-05 -4.09760223826144e-05 -4.09760917105011e-05
45056 33 -3.9097906842425e-05 -3.90980026321523e-05 -3.9098027192296e-05
45568 33.375 -4.01670769542788e-05 -4.01673049876847e-05 -4.01673507706466e-05
46080 33.75 -4.12095486086745e-05 -4.12097449482295e-05 -4.1209782571647e-05
46592 34.125 -4.18417153286054e-05 -4.18418697459902e-05 -4.1841998015292e-05
47104 34.5 -4.06312307396552e-05 -4.06311547809067e-05 -4.06313027383955e-05
47616 34.875 -4.2356300214954e-05 -4.23562904617057e-05 -4.23562580237135e-05
48128 35.25 -4.34458620742588e-05 -4.34458319341019e-05 -4.34457928675917e-05
48640 35.625 -4.37130482153917e-05 -4.37129875787317e-05 -4.37129470846764e-05
49152 36 -4.36673042270914e-05 -4.36674610226924e-05 -4.36674617852566e-05
49664 36.375 -4.51592890481772e-05 -4.51594819877297e-05 -4.51594183614171e-05
50176 36.75 -4.64477408182289e-05 -4.64476406527201e-05 -4.64476902197058e-05
50688 37.125 -4.64912473719831e-05 -4.6491228777741e-05 -4.64913553525193e-05
51200 37.5 -4.63271805315937e-05 -4.63272713164547e-05 -4.63274011298367e-05
51712 37.875 -4.80089349880813e-05 -4.80091531587981e-05 -4.80090446506345e-05
52224 38.25 -4.93615500986846e-05 -4.93614463122877e-05 -4.93614783899105e-05
52736 38.625 -4.9930576789365e-05 -4.99306012679052e-05 -4.99305914130796e-05
53248 39 -5.01926763397147e-05 -5.01926780592208e-05 -5.01927521575674e-05
53760 39.375 -5.13348923378378e-05 -5.13348759924452e-05 -5.13348856202655e-05
