# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
34816 25.5 -1.12127171560124e-05 -1.12128481044597e-05 -1.12128415435014e-05
35328 25.875 -1.12729385468997e-05 -1.12734712332793e-05 -1.12736280196446e-05
35840 26.25 -1.2081293248704e-05 -1.20805549125847e-05 -1.20808297850406e-05
36352 26.625 -1.22032535675896e-05 -1.22006461212413e-05 -1.22036377141335e-05
36864 27 -1.14784696754942e-05 -1.14705882343357e-05 -1.14803493093087e-05
37376 27.375 -1.12400622518967e-05 -1.12396329389066e-05 -1.12398069564226e-05
37888 27.75 -1.15840296873128e-05 -1.15836001447271e-05 -1.15836614709351e-05
38400 28.125 -1.40336655486669e-05 -1.40325485251345e-05 -1.4033283148424e-05
38912 28.5 -1.22136930279444e-05 -1.22141260581078e-05 -1.22142619390238e-05
39424 28.875 -1.13356800968205e-05 -1.13356643024969e-05 -1.13356945151244e-05
39936 29.25 -1.35297340973625e-05 -1.35298388690628e-05 -1.35296460324612e-05
40448 29.625 -1.49881954679639e-05 -1.49887539978387e-05 -1.49882302923432e-05
40960 30 -1.59792822170896e-05 -1.59802696234793e-05 -1.5980770270866e-05
41472 30.375 -1.84525625349924e-05 -1.84520473255221e-05 -1.8452603913057e-05
41984 30.75 -1.96397756879214e-05 -1.96387843515605e-05 -1.96385319342056e-05
42496 31.125 -2.10661465657928e-05 -2.1066231721577e-05 -2.10680335577045e-05
43008 31.5 -2.20906683786396e-05 -2.20907224715794e-05 -2.20915579880036e-05
43520 31.875 -2.47124596412089e-05 -2.47129799718459e-05 -2.47135490058112e-05
44032 32.25 -2.59103560873063e-05 -2.59108902060797e-05 -2.59112706136007e-05
44544 32.625 -2.78649831975764e-05 -2.78653416813943e-05 -2.78646309012772e-05
45056 33 -2.98977094526028e-05 -2.98978386958579e-05 -2.9897637691873e-05
45568 33.375 -3.30845905624821e-05 -3.30854617241496e-05 -3.30848044543501e-05
46080 33.75 -3.62727528293054e-05 -3.62727954825354e-05 -3.62734147009219e-05
46592 34.125 -3.76158494822644e-05 -3.76155959023061e-05 -3.76162690349461e-05
47104 34.5 -4.17457275526051e-05 -4.17454652282682e-05 -4.17461022463609e-05
47616 34.875 -4.47834577779541e-05 -4.47839189466357e-05 -4.47842883839849e-05
48128 35.25 -4.96905506576372e-05 -4.96933421803469e-05 -4.96928967740854e-05
48640 35.625 -4.4499862311015e-05 -4.45003591684102e-05 -4.44998849714423e-05
49152 36 -3.67791042065925e-05 -3.67800437432235e-05 -3.67797956012917e-05
49664 36.375 -4.06325511524302e-05 -4.06340424140967e-05 -4.06337887051785e-05
50176 36.75 -4.58650184831234e-05 -4.58628767184644e-05 -4.58635116470951e-05
50688 37.125 -4.6680741887304e-05 -4.66806179097153e-05 -4.66805694175479e-05
