# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.375 1.34801919123828e-07 1.34801919232769e-07 1.34801919214544e-07
1024 0.75 4.22181062024766e-07 4.22181061925453e-07 4.2218106225639e-07
1536 1.125 7.22638485087712e-07 7.22638484965401e-07 7.2263848574549e-07
2048 1.5 7.71555843314997e-07 7.71555843240107e-07 7.71555843172214e-07
2560 1.875 7.77913658591235e-07 7.77913656635473e-07 7.77913658515485e-07
3072 2.25 7.25931598405236e-07 7.25931595132204e-07 7.25931598050065e-07
3584 2.625 8.53274628600702e-07 8.53274637521496e-07 8.53274633092821e-07
4096 3 7.53363940555709e-07 7.53363941381903e-07 7.53363942534633e-07
4608 3.375 8.265204146638e-07 8.26520417257834e-07 8.26520409213889e-07
5120 3.75 8.2599519174547e-07 8.25995198777224e-07 8.25995193031498e-07
5632 4.125 8.50741142952673e-07 8.50741140603308e-07 8.5074115395084e-07
6144 4.5 8.09707802357835e-07 8.09707786413834e-07 8.09707789962649e-07
6656 4.875 8.72139690075862e-07 8.72139686273281e-07 8.72139676771307e-07
7168 5.25 8.53790997077844e-07 8.53790993004924e-07 8.53790986630105e-07
7680 5.625 8.26093131312249e-07 8.26093133976795e-07 8.26093117465917e-07
8192 6 8.9783207481775e-07 8.97832080470072e-07 8.97832079788484e-07
8704 6.375 9.03197160742886e-07 9.03197156894582e-07 9.03197145906408e-07
9216 6.75 9.07717216654403e-07 9.07717193545161e-07 9.07717177940638e-07
9728 7.125 9.67740506609539e-07 9.67740488772176e-07 9.67740511113844e-07
10240 7.5 9.62266560560694e-07 9.62266549070391e-07 9.62266555597273e-07
10752 7.875 9.83621694456707e-07 9.83621717467312e-07 9.83621710191884e-07
11264 8.25 9.87808771537397e-07 9.87808750558361e-07 9.87808715638508e-07
11776 8.625 9.99189272209044e-07 9.99189254266398e-07 9.99189265847022e-07
12288 9 9.80668328132546e-07 9.80668328751808e-07 9.80668341190037e-07
