# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 14 2024 at 16:52:33+0200
# parameter filename: "TOV_lev3_r12_r10_res.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
# Run ID: run-TOV_lev3_r12_r10_res-DESKTOP-32SDILR.-acastoldi-2024.06.14-14.52.28-523
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
41472 30.375 0.967531724412724
41984 30.75 0.967539305102747
42496 31.125 0.967546783149904
43008 31.5 0.96755412041005
43520 31.875 0.96756131865928
44032 32.25 0.96756840460541
44544 32.625 0.967575388816642
45056 33 0.967582266585528
45568 33.375 0.967589022951797
46080 33.75 0.967595621158838
46592 34.125 0.967602059021714
47104 34.5 0.967608409860462
47616 34.875 0.967614707785133
48128 35.25 0.967620885769502
48640 35.625 0.967626925987012
49152 36 0.967632919236722
49664 36.375 0.967638921539224
50176 36.75 0.967644938667488
50688 37.125 0.96765104444544
51200 37.5 0.967657327722664
51712 37.875 0.967663770800036
52224 38.25 0.967670327770151
52736 38.625 0.967677047250607
53248 39 0.967683997807668
53760 39.375 0.967691149580166
54272 39.75 0.967698432917254
54784 40.125 0.967705840409723
55296 40.5 0.967713388037169
55808 40.875 0.967721055946682
56320 41.25 0.967728827250432
56832 41.625 0.967736709563312
57344 42 0.967744690216833
57856 42.375 0.967752727752572
58368 42.75 0.96776079310063
58880 43.125 0.9677688807248
59392 43.5 0.967776974429143
59904 43.875 0.967785035824955
60416 44.25 0.967793045512774
60928 44.625 0.967801016053522
61440 45 0.967808940589825
61952 45.375 0.967816778356094
62464 45.75 0.967824507005183
62976 46.125 0.967832135720761
63488 46.5 0.96783966015069
64000 46.875 0.967847055056716
64512 47.25 0.967854313062059
65024 47.625 0.967861443875155
65536 48 0.967868439021389
66048 48.375 0.967875282418697
66560 48.75 0.967881983151008
67072 49.125 0.96788855825868
67584 49.5 0.96789500603906
68096 49.875 0.967901324032098
68608 50.25 0.967907524059711
69120 50.625 0.967913614291531
69632 51 0.967919592045843
70144 51.375 0.967925452896391
70656 51.75 0.967931184174838
71168 52.125 0.967936760949987
71680 52.5 0.967942162000098
72192 52.875 0.967947374717309
72704 53.25 0.967952389912589
73216 53.625 0.967957210949232
73728 54 0.967961856775865
74240 54.375 0.967966350461862
74752 54.75 0.96797071281718
75264 55.125 0.967974956433482
75776 55.5 0.96797908676496
76288 55.875 0.967983119229224
76800 56.25 0.967987082776963
77312 56.625 0.967991007885357
77824 57 0.96799492288986
78336 57.375 0.967998850424771
78848 57.75 0.968002804919769
79360 58.125 0.968006789120639
79872 58.5 0.968010756458176
80384 58.875 0.968014565441946
80896 59.25 0.96801798890515
81408 59.625 0.968020765590188
81920 60 0.968022666084989
82432 60.375 0.968023578988318
82944 60.75 0.968023575463054
83456 61.125 0.968022886647852
83968 61.5 0.968021795353144
84480 61.875 0.968020499874008
84992 62.25 0.968019033176738
85504 62.625 0.968017303926984
86016 63 0.968015222378109
86528 63.375 0.968012787939222
87040 63.75 0.968010066324934
87552 64.125 0.968007101911924
88064 64.5 0.96800386274442
88576 64.875 0.968000272895241
89088 65.25 0.967996312379776
89600 65.625 0.967992109069857
90112 66 0.967987923395496
90624 66.375 0.96798399420742
91136 66.75 0.967980372511596
91648 67.125 0.967976927692416
92160 67.5 0.967973544718122
92672 67.875 0.967970301887115
