# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.00370720323063203
512 0.5 0.00370309005844239
1024 1 0.00369905947855857
1536 1.5 0.00369555875602392
2048 2 0.00369286206185215
2560 2.5 0.00369112003793485
3072 3 0.00369033344178905
3584 3.5 0.00369040044874467
4096 4 0.00369115456178637
4608 4.5 0.00369239875026108
5120 5 0.00369393322708042
5632 5.5 0.00369557506825828
6144 6 0.003697171600352
6656 6.5 0.00369860844776398
7168 7 0.00369981316484242
7680 7.5 0.00370075498140747
8192 8 0.0037014433847127
8704 8.5 0.00370192281577878
9216 9 0.00370223630482458
9728 9.5 0.0037024033886548
10240 10 0.00370248470999226
10752 10.5 0.00370257748236935
11264 11 0.00370270124801171
11776 11.5 0.00370283950885556
12288 12 0.00370300608088543
12800 12.5 0.00370322432403406
13312 13 0.00370350519637465
13824 13.5 0.00370382877677012
14336 14 0.00370417379259916
14848 14.5 0.00370452868929773
15360 15 0.00370489104739705
15872 15.5 0.00370523901269026
16384 16 0.00370554877507953
16896 16.5 0.00370582306194688
17408 17 0.00370606667004931
17920 17.5 0.00370626914484819
18432 18 0.00370642774695928
18944 18.5 0.00370655515201096
19456 19 0.00370665569192714
19968 19.5 0.00370672921452151
20480 20 0.00370679396698849
20992 20.5 0.00370687908790402
21504 21 0.00370701423379742
22016 21.5 0.00370723821640809
22528 22 0.00370756257707935
23040 22.5 0.00370794982977873
23552 23 0.00370833597671332
24064 23.5 0.00370865272926872
24576 24 0.00370886449170896
25088 24.5 0.00370898571226102
25600 25 0.00370905720778584
26112 25.5 0.0037091146650534
26624 26 0.00370915816494147
27136 26.5 0.00370916463299448
27648 27 0.00370912815991622
28160 27.5 0.00370907512881674
28672 28 0.00370902781065367
29184 28.5 0.0037089671245808
29696 29 0.00370886046594711
30208 29.5 0.00370868986263666
30720 30 0.00370845359520475
31232 30.5 0.00370817461412766
31744 31 0.00370785890794422
32256 31.5 0.00370748664619024
32768 32 0.00370704991417758
33280 32.5 0.00370654509246679
33792 33 0.00370597913785769
34304 33.5 0.00370534193705907
34816 34 0.00370460604735867
35328 34.5 0.00370377330885153
35840 35 0.00370284589191508
36352 35.5 0.00370182382948546
36864 36 0.00370070963897259
