# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
0 0 0.0235335535034598
512 0.5 0.0235335535054094
1024 1 0.0235335535111978
1536 1.5 0.0235335535221574
2048 2 0.0235335535396198
2560 2.5 0.0235335535639882
3072 3 0.0235335535974927
3584 3.5 0.023533553640972
4096 4 0.0235335536938115
4608 4.5 0.0235335537553438
5120 5 0.0235335538259701
5632 5.5 0.0235335539055527
6144 6 0.023533553994781
6656 6.5 0.0235335540940885
7168 7 0.0235335541995017
7680 7.5 0.0235335543123917
8192 8 0.0235335544333648
8704 8.5 0.0235335545625947
9216 9 0.0235335546991882
9728 9.5 0.0235335548434488
10240 10 0.0235335549956218
10752 10.5 0.0235335551548395
11264 11 0.0235335553208599
11776 11.5 0.0235335554939562
12288 12 0.0235335556726673
12800 12.5 0.0235335558559286
13312 13 0.0235335560442551
13824 13.5 0.0235335562401176
14336 14 0.0235335564421249
14848 14.5 0.0235335566503987
15360 15 0.0235335568655969
15872 15.5 0.0235335570855893
16384 16 0.0235335573112871
16896 16.5 0.02353355754235
17408 17 0.0235335577777915
17920 17.5 0.0235335580176082
18432 18 0.0235335582606012
18944 18.5 0.0235335585063059
19456 19 0.0235335587553312
19968 19.5 0.0235335590082144
20480 20 0.0235335592675556
20992 20.5 0.0235335595307843
21504 21 0.0235335597982234
22016 21.5 0.0235335600701743
22528 22 0.0235335603500617
23040 22.5 0.0235335606379243
23552 23 0.0235335609332709
24064 23.5 0.0235335612373682
24576 24 0.0235335615465906
25088 24.5 0.0235335618566274
25600 25 0.0235335621641294
26112 25.5 0.0235335624705886
26624 26 0.0235335627775588
27136 26.5 0.023533563085831
27648 27 0.0235335634026061
28160 27.5 0.0235335637249316
28672 28 0.0235335640518102
29184 28.5 0.023533564386226
29696 29 0.0235335647282971
30208 29.5 0.0235335650728274
30720 30 0.0235335654215615
31232 30.5 0.0235335657766511
31744 31 0.0235335661352085
32256 31.5 0.0235335664997713
32768 32 0.0235335668691595
33280 32.5 0.0235335672422552
33792 33 0.0235335676165357
34304 33.5 0.0235335679895973
34816 34 0.0235335683639246
35328 34.5 0.0235335687394427
35840 35 0.0235335691184638
36352 35.5 0.0235335695021925
36864 36 0.0235335698891885
37376 36.5 0.0235335702813937
37888 37 0.0235335706760881
38400 37.5 0.0235335710738605
38912 38 0.0235335714790174
39424 38.5 0.0235335718875936
39936 39 0.0235335722998178
40448 39.5 0.023533572715093
40960 40 0.0235335731345984
41472 40.5 0.0235335735564943
41984 41 0.0235335739792493
42496 41.5 0.0235335744007687
43008 42 0.0235335748200921
43520 42.5 0.023533575241332
44032 43 0.0235335756628483
44544 43.5 0.0235335760832774
45056 44 0.0235335765046776
45568 44.5 0.0235335769262312
46080 45 0.0235335773470385
46592 45.5 0.0235335777700567
47104 46 0.0235335781975976
47616 46.5 0.0235335786287367
48128 47 0.0235335790620642
48640 47.5 0.0235335794965693
49152 48 0.0235335799338908
49664 48.5 0.0235335803750012
50176 49 0.0235335808182398
50688 49.5 0.0235335812599818
51200 50 0.0235335817041528
51712 50.5 0.0235335821500987
52224 51 0.0235335826016331
52736 51.5 0.0235335830575245
53248 52 0.0235335835126658
53760 52.5 0.0235335839686035
54272 53 0.0235335844219406
54784 53.5 0.0235335848702676
55296 54 0.0235335853135119
55808 54.5 0.0235335857598377
56320 55 0.0235335862082366
56832 55.5 0.0235335866593128
57344 56 0.0235335871115051
57856 56.5 0.023533587568256
58368 57 0.0235335880301934
58880 57.5 0.0235335884939939
59392 58 0.0235335889576389
59904 58.5 0.0235335894224344
60416 59 0.0235335898903731
60928 59.5 0.0235335903614554
61440 60 0.0235335908342075
61952 60.5 0.0235335913076097
62464 61 0.0235335917848077
62976 61.5 0.0235335922601663
63488 62 0.0235335927336976
64000 62.5 0.0235335932126777
64512 63 0.0235335936949109
65024 63.5 0.0235335941784457
65536 64 0.0235335946563846
66048 64.5 0.0235335951343523
66560 65 0.0235335956145512
67072 65.5 0.0235335960918701
67584 66 0.023533596572996
68096 66.5 0.0235335970525962
68608 67 0.0235335975281259
69120 67.5 0.0235335980060213
69632 68 0.023533598489995
70144 68.5 0.0235335989759267
70656 69 0.0235335994626413
71168 69.5 0.0235335999473069
71680 70 0.0235336004320935
72192 70.5 0.0235336009182328
72704 71 0.023533601408907
73216 71.5 0.0235336019002354
73728 72 0.0235336023872204
74240 72.5 0.02353360287531
74752 73 0.0235336033645073
75264 73.5 0.023533603852094
75776 74 0.0235336043384792
76288 74.5 0.0235336048240468
76800 75 0.023533605305259
77312 75.5 0.0235336057907092
77824 76 0.0235336062729896
78336 76.5 0.0235336067532468
78848 77 0.0235336072328242
79360 77.5 0.0235336077177585
79872 78 0.0235336082050167
80384 78.5 0.0235336086962647
80896 79 0.0235336091842396
81408 79.5 0.0235336096734827
81920 80 0.0235336101634739
82432 80.5 0.0235336106520986
82944 81 0.0235336111454856
83456 81.5 0.0235336116436881
83968 82 0.0235336121396072
84480 82.5 0.0235336126394458
84992 83 0.0235336131384549
85504 83.5 0.0235336136368016
86016 84 0.0235336141267973
86528 84.5 0.0235336146100485
87040 85 0.0235336150879783
87552 85.5 0.0235336155646413
88064 86 0.0235336160420977
88576 86.5 0.0235336165214972
89088 87 0.0235336170069419
89600 87.5 0.0235336174981892
90112 88 0.0235336179981071
90624 88.5 0.0235336185034018
91136 89 0.0235336190160664
91648 89.5 0.0235336195300534
92160 90 0.0235336200435192
92672 90.5 0.0235336205613803
93184 91 0.0235336210786161
93696 91.5 0.0235336215923507
94208 92 0.023533622103017
94720 92.5 0.0235336226069537
95232 93 0.0235336231082845
95744 93.5 0.0235336236115413
96256 94 0.0235336241181451
96768 94.5 0.0235336246306596
97280 95 0.0235336251391932
97792 95.5 0.0235336256432812
98304 96 0.0235336261469181
98816 96.5 0.0235336266603313
99328 97 0.0235336271809805
99840 97.5 0.0235336277030286
100352 98 0.0235336282272449
100864 98.5 0.0235336287462847
101376 99 0.023533629266914
101888 99.5 0.0235336297890855
102400 100 0.0235336303083829
102912 100.5 0.0235336308223939
103424 101 0.023533631332832
103936 101.5 0.0235336318380701
104448 102 0.0235336323486843
104960 102.5 0.0235336328597975
105472 103 0.0235336333696144
105984 103.5 0.0235336338768244
106496 104 0.0235336343832991
107008 104.5 0.0235336348835857
107520 105 0.0235336353834933
108032 105.5 0.0235336358827635
108544 106 0.0235336363806241
