# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
37888 37 9.22041071891001e-07 9.22056080138614e-07 9.22047549666006e-07
38400 37.5 9.18033929440371e-07 9.18038996235565e-07 9.18035343832417e-07
38912 38 9.21785843196373e-07 9.21794778484113e-07 9.21794461975667e-07
39424 38.5 9.45753495874075e-07 9.45773427167168e-07 9.45764196916557e-07
39936 39 9.4834535715611e-07 9.48353659447095e-07 9.48353763005806e-07
40448 39.5 9.41015440889193e-07 9.41025154078749e-07 9.4102491023481e-07
40960 40 9.40795687599629e-07 9.4081596999455e-07 9.40817975078451e-07
41472 40.5 9.4425778864489e-07 9.44268530181769e-07 9.44279755381552e-07
41984 41 9.27731155838449e-07 9.27737215058407e-07 9.2774093865626e-07
42496 41.5 9.28235424599885e-07 9.28235571572361e-07 9.28250377649673e-07
43008 42 9.4635634071375e-07 9.46358770958795e-07 9.46374042957375e-07
43520 42.5 9.44309331798248e-07 9.44318738539761e-07 9.44322951987775e-07
44032 43 9.22880770754829e-07 9.22889457791642e-07 9.22889119868518e-07
44544 43.5 9.27808507932295e-07 9.2782629554529e-07 9.27813020115687e-07
45056 44 9.38010627470653e-07 9.38024317954529e-07 9.38023905015352e-07
45568 44.5 9.34370168406477e-07 9.343883998158e-07 9.34396198666718e-07
46080 45 9.2344625308507e-07 9.234627122333e-07 9.23466920112579e-07
46592 45.5 9.17504312027632e-07 9.17522145202612e-07 9.17516837062884e-07
47104 46 9.102124664597e-07 9.10239957834441e-07 9.10232107029835e-07
47616 46.5 9.24605368227948e-07 9.24620943705736e-07 9.24615937321378e-07
48128 47 9.20941924383156e-07 9.20938595818188e-07 9.20939078786319e-07
48640 47.5 9.11584791244348e-07 9.11582399315958e-07 9.11583712772187e-07
49152 48 9.14675047222405e-07 9.14679369304911e-07 9.14681851789577e-07
49664 48.5 9.07574999757353e-07 9.07581171284084e-07 9.07589795016408e-07
50176 49 8.96357856291723e-07 8.96385625746769e-07 8.96383042898952e-07
50688 49.5 9.0439744834143e-07 9.0441737008129e-07 9.04406258160422e-07
51200 50 9.10138018078412e-07 9.10150315163771e-07 9.10146582518735e-07
51712 50.5 9.05675232049649e-07 9.05688049498428e-07 9.05687199803581e-07
52224 51 9.09625693407342e-07 9.09632501041785e-07 9.09636761421009e-07
52736 51.5 9.2730046821602e-07 9.27319361336502e-07 9.27306867599349e-07
53248 52 9.28674256773419e-07 9.28683717275626e-07 9.28667322812117e-07
53760 52.5 9.18924415326264e-07 9.18947713486708e-07 9.18934713308915e-07
54272 53 9.18119828876113e-07 9.18121245295801e-07 9.18118208379117e-07
54784 53.5 9.30499732969471e-07 9.30515462314552e-07 9.30504306318928e-07
55296 54 9.40627851349152e-07 9.40637386967371e-07 9.40639349569063e-07
55808 54.5 9.24365471413478e-07 9.24385446644966e-07 9.24381205853658e-07
56320 55 8.93700950503533e-07 8.93727019279036e-07 8.93718971467507e-07
56832 55.5 8.57641900575507e-07 8.57663386779078e-07 8.57659266693257e-07
57344 56 8.66520879776202e-07 8.66532471837391e-07 8.66524407595983e-07
