# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
20480 20 -2.73935912688292e-05 -2.73953410529991e-05 -2.73941781640727e-05
20992 20.5 -2.66567220772817e-05 -2.66589742223559e-05 -2.6657326782731e-05
21504 21 -2.59648991542748e-05 -2.59680646873311e-05 -2.59658362694588e-05
22016 21.5 -2.726981771962e-05 -2.72736317275635e-05 -2.72710180896858e-05
22528 22 -3.04714190129945e-05 -3.04754519070094e-05 -3.04727480585479e-05
23040 22.5 -3.32637735619915e-05 -3.32687456952205e-05 -3.32654366634905e-05
23552 23 -3.47958853342429e-05 -3.48013480613863e-05 -3.47978932693767e-05
24064 23.5 -3.74033423570967e-05 -3.74075171212453e-05 -3.74046880489295e-05
24576 24 -3.9483004892332e-05 -3.94885320126925e-05 -3.94851852067397e-05
25088 24.5 -4.07318357623894e-05 -4.07374852350682e-05 -4.07342250688264e-05
25600 25 -4.3709505572595e-05 -4.3714499642504e-05 -4.37112400005348e-05
26112 25.5 -4.7472332687205e-05 -4.74777762954209e-05 -4.74745452186362e-05
26624 26 -4.97142680427766e-05 -4.97199735441603e-05 -4.97164907726459e-05
27136 26.5 -5.35591425698313e-05 -5.35632535044987e-05 -5.35605832208108e-05
27648 27 -5.83019403771429e-05 -5.83069321214441e-05 -5.83038017312994e-05
28160 27.5 -6.40147244811588e-05 -6.40199736253787e-05 -6.40167452540993e-05
28672 28 -6.86287121850232e-05 -6.86344315572984e-05 -6.86310194321697e-05
29184 28.5 -7.06872625388836e-05 -7.06932233351385e-05 -7.06912646046729e-05
29696 29 -6.98686262477417e-05 -6.98746011388278e-05 -6.98728293616905e-05
30208 29.5 -6.56173160484032e-05 -6.56229679728505e-05 -6.56218706117165e-05
30720 30 -6.5187404614366e-05 -6.51934577414919e-05 -6.51900221191203e-05
31232 30.5 -7.0244015170696e-05 -7.02506773444345e-05 -7.0247278752129e-05
31744 31 -7.36755779116239e-05 -7.36828686692015e-05 -7.36797042818345e-05
32256 31.5 -7.38681597614573e-05 -7.38755772777453e-05 -7.38727106613899e-05
32768 32 -7.23383945939911e-05 -7.23457839512301e-05 -7.23431781394102e-05
33280 32.5 -7.47521276696479e-05 -7.47586107971481e-05 -7.47554323449539e-05
33792 33 -7.61920018172432e-05 -7.6199199314453e-05 -7.61960179577377e-05
34304 33.5 -7.68901312082393e-05 -7.68978921645707e-05 -7.68946573410451e-05
34816 34 -7.73207381373126e-05 -7.73295289702941e-05 -7.73263668534871e-05
35328 34.5 -7.89019862345494e-05 -7.89092335496614e-05 -7.89060110796613e-05
35840 35 -8.11672180635733e-05 -8.11752180720406e-05 -8.11719724589605e-05
36352 35.5 -8.21879269396086e-05 -8.21966983615623e-05 -8.21933907236212e-05
36864 36 -8.37394358407845e-05 -8.37486465683504e-05 -8.3745471792657e-05
37376 36.5 -8.54332394228365e-05 -8.54431527716137e-05 -8.54404401761063e-05
37888 37 -8.69044727355189e-05 -8.69148362352761e-05 -8.69124085044627e-05
38400 37.5 -8.85456904119318e-05 -8.85560797514245e-05 -8.85539973480098e-05
38912 38 -8.99514295696822e-05 -8.99617863425661e-05 -8.99602925028352e-05
39424 38.5 -9.19759908968528e-05 -9.19856297719114e-05 -9.19827318394287e-05
39936 39 -9.39281970994105e-05 -9.39387023213152e-05 -9.39361908715549e-05
40448 39.5 -9.54266653765719e-05 -9.54379892211035e-05 -9.54356645802545e-05
40960 40 -9.63820235573522e-05 -9.63937779349868e-05 -9.63918774711113e-05
41472 40.5 -9.73566750044226e-05 -9.73689864689993e-05 -9.73671682356063e-05
41984 41 -9.86210140761141e-05 -9.86328897720985e-05 -9.86317080407954e-05
42496 41.5 -9.94391603882883e-05 -9.94505295616891e-05 -9.94498542994428e-05
43008 42 -9.98158999991779e-05 -9.98272964635803e-05 -9.98274559863606e-05
43520 42.5 -9.91905062283567e-05 -9.92014932458805e-05 -9.92027756020445e-05
44032 43 -9.83923242441745e-05 -9.84029912666831e-05 -9.84045802436322e-05
44544 43.5 -9.75970745442508e-05 -9.76069044181914e-05 -9.76094976935555e-05
45056 44 -9.69342382954513e-05 -9.69433958749402e-05 -9.69469955819523e-05
45568 44.5 -9.56915362446757e-05 -9.56996290197499e-05 -9.57035794581577e-05
46080 45 -9.29508645124387e-05 -9.295709236045e-05 -9.29619386279089e-05
46592 45.5 -9.08926875737024e-05 -9.08970657560622e-05 -9.09031654378743e-05
47104 46 -8.99700122613817e-05 -8.99724911389713e-05 -8.99795931571901e-05
47616 46.5 -8.80995704436315e-05 -8.8100038119153e-05 -8.81082326224905e-05
48128 47 -8.55035409703808e-05 -8.55025453595058e-05 -8.55117428997648e-05
48640 47.5 -8.28981150567531e-05 -8.28957976369492e-05 -8.29056234481771e-05
49152 48 -8.00888049709913e-05 -8.00847143674983e-05 -8.00950733073592e-05
49664 48.5 -7.68299734254308e-05 -7.6824425031071e-05 -7.68350468349005e-05
50176 49 -7.38195929530973e-05 -7.38119505233065e-05 -7.38231720319368e-05
50688 49.5 -7.09943357756641e-05 -7.09852111759464e-05 -7.09962624141082e-05
51200 50 -6.76273503023268e-05 -6.7617547754848e-05 -6.76281924779693e-05
51712 50.5 -6.42941634420251e-05 -6.42834652508227e-05 -6.42940036976474e-05
52224 51 -6.02543070416758e-05 -6.02449212465433e-05 -6.02472569212319e-05
52736 51.5 -5.63225989177108e-05 -5.63128335163084e-05 -5.63208022373051e-05
