# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
0 0 0.966875255744351
512 0.5 0.966884141513851
1024 1 0.966891919746972
1536 1.5 0.966899267429123
2048 2 0.96690729298555
2560 2.5 0.966915662729129
3072 3 0.966924064392414
3584 3.5 0.966932585276906
4096 4 0.96694128440886
4608 4.5 0.966950141093017
5120 5 0.966959130753755
5632 5.5 0.966968260804104
6144 6 0.966977555022451
6656 6.5 0.966987009618373
7168 7 0.966996606245822
7680 7.5 0.967006347837615
8192 8 0.96701624573497
8704 8.5 0.967026296690251
9216 9 0.9670364922828
9728 9.5 0.967046832626871
10240 10 0.967057322185158
10752 10.5 0.967067959697341
11264 11 0.96707873875911
11776 11.5 0.967089656905441
12288 12 0.967100715711179
12800 12.5 0.967111912726231
13312 13 0.967123241638859
13824 13.5 0.967134698543792
14336 14 0.967146281798547
14848 14.5 0.967157987389098
15360 15 0.967169808486739
15872 15.5 0.967181739002738
16384 16 0.967193774513442
16896 16.5 0.967205909187014
17408 17 0.967218134824342
17920 17.5 0.967230443478311
18432 18 0.967242827177126
18944 18.5 0.967255273813346
19456 19 0.967267766846867
19968 19.5 0.967280291044803
20480 20 0.967292835462582
20992 20.5 0.96730538860585
21504 21 0.967317935565694
22016 21.5 0.967330463749156
22528 22 0.96734296528539
23040 22.5 0.967355431173837
23552 23 0.967367852097659
24064 23.5 0.967380225295807
24576 24 0.96739255126113
25088 24.5 0.967404828912325
25600 25 0.96741706116852
26112 25.5 0.967429252668001
26624 26 0.967441394315871
27136 26.5 0.967453461053508
27648 27 0.96746543418188
28160 27.5 0.967477324007097
28672 28 0.967489148694922
29184 28.5 0.967500878360421
29696 29 0.967512447057617
30208 29.5 0.96752382796908
30720 30 0.967534998632341
31232 30.5 0.967545857065958
31744 31 0.967556331138347
32256 31.5 0.967566484685851
32768 32 0.967576357047158
33280 32.5 0.967585902238105
33792 33 0.967595167359957
34304 33.5 0.967604221960945
34816 34 0.96761300530442
35328 34.5 0.96762154038399
35840 35 0.967629970586069
36352 35.5 0.967638271681697
36864 36 0.967646427964818
37376 36.5 0.967654707376269
37888 37 0.967663286273761
38400 37.5 0.967672068373821
38912 38 0.967681122661875
39424 38.5 0.967690670991117
39936 39 0.967700630047906
40448 39.5 0.967710745281613
40960 40 0.967721021545865
41472 40.5 0.967731581163533
41984 41 0.967742339020116
42496 41.5 0.967753155994857
43008 42 0.967764062998586
43520 42.5 0.967775111551697
44032 43 0.967786249247186
44544 43.5 0.967797411595965
45056 44 0.967808517568065
45568 44.5 0.967819452958223
46080 45 0.967830209200774
46592 45.5 0.967840880265722
47104 46 0.967851448506482
47616 46.5 0.967861758515138
48128 47 0.967871751341345
48640 47.5 0.967881517160178
