# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
0 0 0 0 0
512 0.5 5.14704834975705e-07 5.14704835300489e-07 5.14704835660107e-07
1024 1 1.22443975950838e-06 1.22443975966951e-06 1.22443976001282e-06
1536 1.5 2.10587152134929e-06 2.10587152194691e-06 2.10587152360553e-06
2048 2 2.37311242750139e-06 2.37311242681425e-06 2.37311242533351e-06
2560 2.5 2.12644658372648e-06 2.1264465792642e-06 2.12644658210433e-06
3072 3 2.1751668992294e-06 2.17516689954161e-06 2.17516689906434e-06
3584 3.5 2.27425230505642e-06 2.27425231292817e-06 2.27425231021601e-06
4096 4 2.16282245420687e-06 2.16282245095219e-06 2.16282244653766e-06
4608 4.5 2.18305874706848e-06 2.18305875810205e-06 2.18305875965661e-06
5120 5 2.18503602168088e-06 2.18503601201527e-06 2.1850360142682e-06
5632 5.5 2.12265926527891e-06 2.12265930102035e-06 2.12265927127429e-06
6144 6 2.08849009662934e-06 2.08849010810965e-06 2.08849008086635e-06
6656 6.5 2.0454523108793e-06 2.04545231436151e-06 2.04545228954372e-06
7168 7 1.99171698736825e-06 1.99171711561486e-06 1.99171713743963e-06
7680 7.5 1.94362045148984e-06 1.94362047305524e-06 1.94362047304989e-06
8192 8 1.92810428145484e-06 1.9281042312587e-06 1.92810426465363e-06
8704 8.5 1.91140028112065e-06 1.91140016066607e-06 1.9114001893791e-06
9216 9 1.90140342930705e-06 1.90140345057693e-06 1.90140369455083e-06
9728 9.5 1.92840371610053e-06 1.92840369810226e-06 1.92840391948345e-06
10240 10 1.93786504901856e-06 1.9378651600304e-06 1.93786490737654e-06
10752 10.5 1.93777496897166e-06 1.93777500642482e-06 1.9377750454054e-06
11264 11 1.9449321458753e-06 1.94493215813195e-06 1.94493285467564e-06
11776 11.5 1.94549199499569e-06 1.94549188125941e-06 1.94549233067852e-06
12288 12 1.94035499361312e-06 1.94035454549148e-06 1.94035504987209e-06
12800 12.5 1.93118950554469e-06 1.93119081517172e-06 1.93119071662003e-06
13312 13 1.920443998084e-06 1.92044486022409e-06 1.9204442829486e-06
13824 13.5 1.88944817092435e-06 1.88944824529007e-06 1.88944833141066e-06
14336 14 1.86459913987129e-06 1.86459926465522e-06 1.86459894960011e-06
14848 14.5 1.87213410540585e-06 1.87213841037348e-06 1.87213662372304e-06
15360 15 1.86341240095322e-06 1.86341980610642e-06 1.86341348126113e-06
15872 15.5 1.83067756979752e-06 1.83067945389746e-06 1.83067805525124e-06
16384 16 1.83742694063023e-06 1.83742994361393e-06 1.83743654493593e-06
16896 16.5 1.88160207409804e-06 1.8816176933288e-06 1.8816145384754e-06
17408 17 1.92085462522812e-06 1.92086252059473e-06 1.92085808718958e-06
17920 17.5 1.91345891784795e-06 1.91346012999338e-06 1.91346165383785e-06
