# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
24064 23.5 0.00127918405439243
24576 24 0.00127917866286556
25088 24.5 0.00127915427849949
25600 25 0.00127911172814321
26112 25.5 0.00127905764672829
26624 26 0.00127900102976269
27136 26.5 0.00127894183047739
27648 27 0.00127887775043234
28160 27.5 0.00127881229880925
28672 28 0.00127874378599194
29184 28.5 0.00127867193373808
29696 29 0.00127859841484412
30208 29.5 0.00127851767507734
30720 30 0.00127842524799001
31232 30.5 0.0012783211989389
31744 31 0.00127820777593735
32256 31.5 0.0012780849714468
32768 32 0.00127794707820834
33280 32.5 0.00127779340862933
33792 33 0.00127762175003974
34304 33.5 0.00127742581271157
34816 34 0.00127720757413525
35328 34.5 0.00127696356840232
35840 35 0.00127668740125071
36352 35.5 0.00127638187869528
36864 36 0.00127604711705821
37376 36.5 0.0012756801312975
37888 37 0.00127528394145391
38400 37.5 0.00127485951472533
38912 38 0.00127440805315541
39424 38.5 0.00127393384810525
39936 39 0.00127343979929932
40448 39.5 0.0012729323276454
40960 40 0.00127241268014641
41472 40.5 0.00127188555452746
41984 41 0.00127135887595758
42496 41.5 0.00127083410488143
43008 42 0.00127031309740258
43520 42.5 0.00126980262165866
44032 43 0.0012693099730037
44544 43.5 0.00126883870704231
45056 44 0.00126839308073976
45568 44.5 0.00126797586747665
46080 45 0.00126758851983348
46592 45.5 0.0012672340799967
47104 46 0.00126691472134411
47616 46.5 0.00126663110487545
48128 47 0.00126638788252481
48640 47.5 0.00126618355848423
49152 48 0.00126601613103164
49664 48.5 0.00126588991959054
50176 49 0.00126580117791616
50688 49.5 0.00126574911207252
51200 50 0.00126573586546071
51712 50.5 0.00126575870958333
52224 51 0.00126581577755331
52736 51.5 0.00126590470388771
53248 52 0.00126602576645763
53760 52.5 0.00126617573854029
54272 53 0.00126635270884359
54784 53.5 0.00126655401658421
55296 54 0.00126677746818992
55808 54.5 0.00126701988168746
56320 55 0.00126727681325637
56832 55.5 0.0012675498856656
57344 56 0.0012678339542972
57856 56.5 0.00126812647609724
58368 57 0.00126842579541263
58880 57.5 0.00126872830488314
