# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
39936 39 -0.186350230616271 -0.20109536147372 -0.186993538774384
40448 39.5 -0.187691722431082 -0.202679342044611 -0.188374434424905
40960 40 -0.189134941891042 -0.204236353122021 -0.189848266033392
41472 40.5 -0.190668365735959 -0.205772973229498 -0.191405021509876
41984 41 -0.192278015150209 -0.207305035366743 -0.193029329583268
42496 41.5 -0.193944402239406 -0.208822026411102 -0.194699915062274
43008 42 -0.195651479410692 -0.210314203051746 -0.196400466698455
43520 42.5 -0.197386485707177 -0.211770954402883 -0.198120346562568
44032 43 -0.199138351748387 -0.212507692893611 -0.199847531898722
44544 43.5 -0.200896503858149 -0.211421680715995 -0.201566511951663
45056 44 -0.202641530729704 -0.210342083829857 -0.20326297356983
45568 44.5 -0.204354298062888 -0.209271148500544 -0.204929749679909
46080 45 -0.206023711451298 -0.208221890561346 -0.20656239519684
46592 45.5 -0.20764284626605 -0.207201911146713 -0.208156501646691
47104 46 -0.209210354251987 -0.20621289792489 -0.209710053751681
47616 46.5 -0.21072587186233 -0.205253710759612 -0.211210350394102
48128 47 -0.212182065996221 -0.204322472969296 -0.212646845697076
48640 47.5 -0.213569369150206 -0.203415397221398 -0.214013499422601
49152 48 -0.214882735767927 -0.202527779337257 -0.215306530144219
49664 48.5 -0.216122652662878 -0.201651525736824 -0.216512278131158
50176 49 -0.217296614936122 -0.20078143157244 -0.217637304687968
50688 49.5 -0.218413159782876 -0.199911810444332 -0.218690766235296
51200 50 -0.219478216156731 -0.199038196690185 -0.219684645988059
51712 50.5 -0.220500486861175 -0.198159084067798 -0.220633473761491
52224 51 -0.221487730895126 -0.197271825423132 -0.221549169181055
52736 51.5 -0.222447569306917 -0.196374987563977 -0.222436041261551
53248 52 -0.223391490833042 -0.195468601332988 -0.223302239977614
53760 52.5 -0.224265581541434 -0.194551813263271 -0.224066732398827
54272 53 -0.225146939135001 -0.193615940523218 -0.224889691827363
54784 53.5 -0.226101553115893 -0.192649304580066 -0.225857458744289
55296 54 -0.227075937142087 -0.191676449707264 -0.226883847534789
55808 54.5 -0.228058615550196 -0.190742171496294 -0.227925736061879
56320 55 -0.229040631816169 -0.189882433251261 -0.228976770226034
56832 55.5 -0.230036810847071 -0.18912749671802 -0.23003383736391
57344 56 -0.229143948833545 -0.188502001254148 -0.231098905442614
57856 56.5 -0.22580540627896 -0.188039316596629 -0.228790121863953
58368 57 -0.222565156621407 -0.187770520636867 -0.225475531967133
58880 57.5 -0.219444439771683 -0.187706215078231 -0.222211748163261
59392 58 -0.216458172150463 -0.187857251978113 -0.219034424839915
59904 58.5 -0.213588149761627 -0.188222752343703 -0.215966564584192
60416 59 -0.210836035929368 -0.188799024470658 -0.213016675719649
60928 59.5 -0.208194844319596 -0.189575743625829 -0.210182694414802
61440 60 -0.205653266873197 -0.190574921544723 -0.207458160422268
61952 60.5 -0.203204746910613 -0.191849019962083 -0.204850425441315
62464 61 -0.200845101131088 -0.193603802208488 -0.202374266020994
62976 61.5 -0.198581462504356 -0.19577520613063 -0.199997509585749
63488 62 -0.196412560537699 -0.197722283836818 -0.197708724535888
64000 62.5 -0.194318474545137 -0.199577944262043 -0.195497934241432
64512 63 -0.192295646196438 -0.201318384540662 -0.193361095816596
65024 63.5 -0.190338037162863 -0.203082871728451 -0.191291261426705
65536 64 -0.188450864231288 -0.205182176573057 -0.191084821018689
66048 64.5 -0.186622336631493 -0.207249804674403 -0.194271700798861
66560 65 -0.184844341547874 -0.209271942513721 -0.186954573264013
67072 65.5 -0.183872586675503 -0.211229586935248 -0.188877530724459
67584 66 -0.184257835028248 -0.213113491287643 -0.191550064352668
68096 66.5 -0.187356145055906 -0.214915714478995 -0.194730108324572
68608 67 -0.191217143634406 -0.216626089153452 -0.198701237304059
69120 67.5 -0.194331877289529 -0.218240496327241 -0.202256246930769
69632 68 -0.19489892051279 -0.219757574334594 -0.205371495663877
70144 68.5 -0.192092831048357 -0.221157926009119 -0.208103669419173
70656 69 -0.196352010976925 -0.222444066523014 -0.20242887132466
71168 69.5 -0.200477802814005 -0.223617446788468 -0.203039972337655
71680 70 -0.204427659138171 -0.224688140519134 -0.203521764158233
72192 70.5 -0.208174246129802 -0.225654642499435 -0.20399488387914
72704 71 -0.211533924321974 -0.226502939446642 -0.203461776766734
73216 71.5 -0.214549529982689 -0.227238569733627 -0.198627263206945
73728 72 -0.21743836657964 -0.227888608680035 -0.197686322976465
74240 72.5 -0.220443269648527 -0.228473128644201 -0.200739166582868
74752 73 -0.223422515080408 -0.229035415241657 -0.202219094506274
75264 73.5 -0.226206472575963 -0.229584784846258 -0.20420794207005
75776 74 -0.228351789162928 -0.230128855251439 -0.208196503249386
76288 74.5 -0.216958986528474 -0.230669982926946 -0.211807115653797
76800 75 -0.205375190326812 -0.231213089285896 -0.214794977143294
77312 75.5 -0.202532928939701 -0.231759320671512 -0.209728741178688
77824 76 -0.204533073020118 -0.227497536868348 -0.201278337273437
78336 76.5 -0.203115880249185 -0.222343676852078 -0.200940578495996
78848 77 -0.206372810282959 -0.217852801538977 -0.203584717073899
79360 77.5 -0.20969019151233 -0.21417652160352 -0.205951726520157
79872 78 -0.212656037617714 -0.212201439619365 -0.208037221120895
80384 78.5 -0.207186481587567 -0.214324306182264 -0.20983030848282
80896 79 -0.211010956729931 -0.216173995783172 -0.211304265269458
81408 79.5 -0.214758704622721 -0.219065779793995 -0.212472635271961
81920 80 -0.218402886772871 -0.221778622276032 -0.214625885229769
82432 80.5 -0.221928230211447 -0.22431071869294 -0.218216796192235
82944 81 -0.225323572588705 -0.226584137817221 -0.221689671418796
83456 81.5 -0.228566566857634 -0.228847616191943 -0.225005435337424
83968 82 -0.231640236490839 -0.231120802027172 -0.228146153231929
84480 82.5 -0.234518872847973 -0.23338457317602 -0.231087375758408
84992 83 -0.237162611672136 -0.235664178407736 -0.233782175284933
85504 83.5 -0.239542970417121 -0.237901741863198 -0.236189755829269
86016 84 -0.241614159880161 -0.240036930236205 -0.238282618181056
86528 84.5 -0.243655033516067 -0.242026053313229 -0.240066640854233
87040 85 -0.236897196540809 -0.243842592551009 -0.241741327021219
87552 85.5 -0.229746541239863 -0.245482825664583 -0.237237626700221
88064 86 -0.222583683158156 -0.244035049714112 -0.229645253303994
88576 86.5 -0.215632256869956 -0.237756925130596 -0.222099700077402
89088 87 -0.209912696379355 -0.239837827769392 -0.214856806524945
89600 87.5 -0.209891403866049 -0.24005128327713 -0.208025312213239
90112 88 -0.212112416929055 -0.232219481052394 -0.205151767657572
90624 88.5 -0.211320871696309 -0.224357061328005 -0.206385115764204
91136 89 -0.21543616145245 -0.220272340196325 -0.206509162394717
91648 89.5 -0.218506434776772 -0.223395947541869 -0.206134415371286
92160 90 -0.219391724409485 -0.224355143907956 -0.205619277864654
92672 90.5 -0.217053967499366 -0.224069661874986 -0.206555973125127
93184 91 -0.220455122302485 -0.218572971155569 -0.210537730032936
93696 91.5 -0.215723990320878 -0.215815237132273 -0.21275458811703
94208 92 -0.203728398425609 -0.219408918871748 -0.214325364376079
94720 92.5 -0.194037170747023 -0.222664547509254 -0.214915041521091
95232 93 -0.196788275462048 -0.224696856458321 -0.219292184626814
95744 93.5 -0.197037212034261 -0.226620933957013 -0.223603615926903
96256 94 -0.200565598662383 -0.229452198631353 -0.227841484301156
96768 94.5 -0.20435399197481 -0.230937323129304 -0.231992313397593
97280 95 -0.207601782555264 -0.228812322540921 -0.23603758106168
97792 95.5 -0.210149814637266 -0.223121403607922 -0.239947800243245
98304 96 -0.214010661177295 -0.219915975104976 -0.24365528793901
98816 96.5 -0.217669217297103 -0.221441416280884 -0.247076865703971
99328 97 -0.221005337559391 -0.221531326028125 -0.250257890170869
99840 97.5 -0.224371472004218 -0.221086998136903 -0.252987456022377
100352 98 -0.228207670360478 -0.221653488192609 -0.253979915748456
100864 98.5 -0.231661140921807 -0.222235653009607 -0.253031321503365
101376 99 -0.234500348469782 -0.222215287701962 -0.252371855041124
101888 99.5 -0.236711468463742 -0.224388641442127 -0.252118212916217
102400 100 -0.237571716793555 -0.224396643879071 -0.254536275914669
102912 100.5 -0.237511776945392 -0.220542981718674 -0.244080559802948
103424 101 -0.234823146361134 -0.222557583786186 -0.243244270441944
103936 101.5 -0.231067826370238 -0.224926694164135 -0.243339522701329
104448 102 -0.230325497583479 -0.227670574293033 -0.239971228029856
104960 102.5 -0.231361594820557 -0.227906034468946 -0.242097379441526
105472 103 -0.231989758644594 -0.224981953869657 -0.239606127314324
105984 103.5 -0.230857946654568 -0.22628091197032 -0.239240264831157
106496 104 -0.231486406719104 -0.22833073440277 -0.240412178913868
107008 104.5 -0.235360901320688 -0.230095160581054 -0.242130251857352
107520 105 -0.238942758760505 -0.229810979948008 -0.243494519895869
108032 105.5 -0.242180284003249 -0.228170221674911 -0.244543387643151
108544 106 -0.245014462901354 -0.230180536051903 -0.239471828972051
109056 106.5 -0.24735758926244 -0.232439524360409 -0.237543794834839
109568 107 -0.24917126932609 -0.234861787783648 -0.241176518860642
110080 107.5 -0.25135409814893 -0.236201113193024 -0.244618840473763
110592 108 -0.255175284153647 -0.239224458868195 -0.247848351937957
111104 108.5 -0.25870848849641 -0.240926362194723 -0.250839792235497
111616 109 -0.261752869194773 -0.241514419979991 -0.253557285336304
112128 109.5 -0.264294056429969 -0.239667473514207 -0.25596229065968
112640 110 -0.258719074092696 -0.240033854026948 -0.257947214925596
113152 110.5 -0.248819981691141 -0.242781509989846 -0.259563525407766
113664 111 -0.244314734504236 -0.244644621843628 -0.260679595811607
114176 111.5 -0.241307673925523 -0.245743624088549 -0.262215195689419
114688 112 -0.2425349679791 -0.246373486689321 -0.254527001872707
115200 112.5 -0.241287846483264 -0.246005272639267 -0.243988638153338
115712 113 -0.238359214680612 -0.246857731896281 -0.235541908216722
116224 113.5 -0.238922065907941 -0.250253998928401 -0.236532159246215
116736 114 -0.239599485993839 -0.25342792312192 -0.235760069060591
117248 114.5 -0.237749584070294 -0.256340679855345 -0.232722807306798
117760 115 -0.236820628380917 -0.258962363995559 -0.233697429088221
118272 115.5 -0.237894876808227 -0.26126332512015 -0.234195886879676
