# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
132608 129.5 0.670492401950466
133120 130 0.670490761296502
133632 130.5 0.670489914492531
134144 131 0.670489754592655
134656 131.5 0.67048883019338
135168 132 0.670489289803981
135680 132.5 0.670491739065829
136192 133 0.670492409042058
136704 133.5 0.670493269842898
137216 134 0.670497332006798
137728 134.5 0.670501046378813
138240 135 0.670502507818878
138752 135.5 0.670505365742752
139264 136 0.670511520724083
139776 136.5 0.670517175924583
140288 137 0.670519949402252
140800 137.5 0.670524884340524
141312 138 0.670531846590676
141824 138.5 0.670537434630262
142336 139 0.670543440006788
142848 139.5 0.670549792956528
143360 140 0.670556663098472
143872 140.5 0.670564439521265
144384 141 0.670570781311374
144896 141.5 0.670576787733865
145408 142 0.670585809848247
145920 142.5 0.670595169569579
146432 143 0.670600939070763
146944 143.5 0.670607565870342
147456 144 0.670617314206791
147968 144.5 0.670626453333795
148480 145 0.670633507370221
148992 145.5 0.67064062351537
149504 146 0.670649689240748
150016 146.5 0.670659193455391
150528 147 0.670667102214882
151040 147.5 0.670673864562822
151552 148 0.670682577569829
152064 148.5 0.670692531186627
152576 149 0.670700365652067
153088 149.5 0.67070707688829
153600 150 0.670715040416883
154112 150.5 0.670724575638422
154624 151 0.67073306190193
155136 151.5 0.670739882780554
155648 152 0.670747280114041
156160 152.5 0.670755599585311
156672 153 0.670763729719287
157184 153.5 0.670770940408325
157696 154 0.670778309347987
158208 154.5 0.670785586453335
158720 155 0.670792763255436
159232 155.5 0.670800224613308
159744 156 0.670807367982845
160256 156.5 0.670814261322758
160768 157 0.670820092712296
161280 157.5 0.670826891075234
161792 158 0.670834953182459
162304 158.5 0.670840951313964
162816 159 0.670845952511019
163328 159.5 0.670852607839229
163840 160 0.670859943773705
164352 160.5 0.670864996614455
164864 161 0.670869970972067
165376 161.5 0.670877612910804
165888 162 0.670883397568052
166400 162.5 0.670886819772098
166912 163 0.670893109039495
167424 163.5 0.670900438236772
167936 164 0.67090491031618
168448 164.5 0.670908862423926
168960 165 0.670914787802251
169472 165.5 0.670921191632292
169984 166 0.67092605730733
170496 166.5 0.670930179963244
171008 167 0.670935290884534
171520 167.5 0.670941643648122
172032 168 0.67094711178962
172544 168.5 0.670950702444185
173056 169 0.67095540568095
173568 169.5 0.670962506460199
174080 170 0.670968204371516
174592 170.5 0.670971040898684
175104 171 0.670976402034018
175616 171.5 0.670983986639869
176128 172 0.67098872943412
176640 172.5 0.67099259388763
177152 173 0.670998594027971
177664 173.5 0.671005653469163
178176 174 0.671010784579784
178688 174.5 0.671014685987928
179200 175 0.671021347723139
179712 175.5 0.671028937864946
180224 176 0.671034059102377
180736 176.5 0.671038131285477
181248 177 0.671044936200433
181760 177.5 0.671052941344954
182272 178 0.671058286827425
182784 178.5 0.671063158522872
183296 179 0.671069890887595
183808 179.5 0.671077126675362
184320 180 0.671083288302526
184832 180.5 0.671089083159368
185344 181 0.671095450133798
185856 181.5 0.67110208518531
186368 182 0.671108721268434
186880 182.5 0.671115087995694
187392 183 0.671121020139124
187904 183.5 0.671127479977394
188416 184 0.671134120597354
188928 184.5 0.671140388038819
189440 185 0.671146572468842
189952 185.5 0.671152469212906
190464 186 0.671158473951208
190976 186.5 0.671164928565892
191488 187 0.671171342175693
192000 187.5 0.67117617493926
192512 188 0.671181592622938
193024 188.5 0.67118850190324
193536 189 0.671193758186871
194048 189.5 0.671198533023072
194560 190 0.671203694313855
195072 190.5 0.671208924928787
195584 191 0.671214605043251
196096 191.5 0.671219104723883
196608 192 0.671222901851961
197120 192.5 0.671227838945592
197632 193 0.671232931965598
198144 193.5 0.671236592117353
198656 194 0.671240047903878
199168 194.5 0.67124435856206
199680 195 0.671248379654214
200192 195.5 0.671251376970404
200704 196 0.671254316713548
201216 196.5 0.671258065690301
201728 197 0.671261214672486
202240 197.5 0.671263372753277
202752 198 0.671265729370557
