# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
7680 7.5 935.552299219685 1015.7694776289 34.4984059333801 28.8599579334259 28.102103471756 0 6.40202140808105 105 423243.860166986 423243.860166986 12214800 12214800 285605.405905786 285605.405905786 8242560 8242560 274.846289797498 442755.954239365 5373.2605995735 437382.693639792 1762 2832201 34569 2797632 0 0 0 0 34.3918013572693 1718200027.19189 23019
8192 8 933.42117471001 1010.52750085859 36.4926869869232 30.854238986969 29.981705904007 0 6.56378364562988 112 422279.739438809 422279.739438809 13029120 13029120 284954.816215472 284954.816215472 8792064 8792064 297.958168714426 500467.588294775 5500.70711984906 494966.881174925 2022 3511443 36003 3475440 0 0 0 0 36.3792240619659 1718200029.18617 24527
8704 8.5 932.67125191491 1005.91965416191 38.4474360942841 32.8089880943298 31.8695545196533 0 6.58359789848328 119 421940.474366306 421940.474366306 13843440 13843440 284725.879784584 284725.879784584 9341568 9341568 310.738339814934 534008.397710807 5655.92426344169 528352.473447365 2048 3512843 37403 3475440 0 0 0 0 38.3277742862701 1718200031.14092 26035
9216 9 921.808791041477 1000.55018965628 40.7867350578308 35.1482870578766 34.125545501709 0 6.69239234924316 126 417026.297067164 417026.297067164 14657760 14657760 281409.787729142 281409.787729142 9891072 9891072 321.564186389418 529622.219916823 5802.26694862324 523819.9529682 2182 3535881 38841 3497040 0 0 0 0 40.6444807052612 1718200033.48022 27543
9728 9.5 894.816842076082 992.475969306183 43.8585600852966 38.2201120853424 37.1500174999237 0 6.71307373046875 133 404815.13935522 404815.13935522 15472080 15472080 273169.685548986 273169.685548986 10440576 10440576 328.536335866083 527250.733670848 5969.10573204239 521281.627938805 2208 3537285 40245 3497040 0 0 0 0 43.7251620292664 1718200036.55204 29051
10240 10 885.732400512085 986.263597920437 46.2827780246735 40.6443300247192 39.4433486461639 0 6.90812063217163 140 400705.337991667 400705.337991667 16286400 16286400 270396.387228329 270396.387228329 10990080 10990080 348.859512680569 579525.247011728 6066.8803936159 573458.366618112 2468 4216541 41693 4174848 0 0 0 0 46.1391131877899 1718200038.97626 30559
10752 10.5 864.917307972545 977.974879567628 49.3420479297638 43.7035999298096 42.4181978702545 0 6.92791604995728 147 391288.590126779 391288.590126779 17100720 17100720 264041.955777859 264041.955777859 11539584 11539584 359.626505282305 609168.304303073 6202.04071880833 602966.263584265 2494 4217999 43151 4174848 0 0 0 0 49.1936235427856 1718200042.03553 32067
11264 11 851.855140285776 970.690381346063 52.1252250671387 46.4867770671844 45.1117639541626 0 7.04309177398682 154 385379.265465285 385379.265465285 17915040 17915040 260054.337226442 260054.337226442 12089088 12089088 369.004683751902 603570.181941699 6336.95678696659 597233.225154732 2628 4241092 44644 4196448 0 0 0 0 51.9674246311188 1718200044.81871 33575
11776 11.5 849.163811179295 965.018424919328 54.3922920227051 48.7538440227509 47.3344204425812 0 7.06250047683716 161 384161.708177513 384161.708177513 18729360 18729360 259232.728276815 259232.728276815 12638592 12638592 375.467301992689 601078.661157154 6501.67681277001 594576.984344384 2654 4242543 46095 4196448 0 0 0 0 54.2305023670197 1718200047.08577 35083
12288 12 841.818584157754 958.976836480815 56.9559180736542 51.3174700737 49.738165140152 0 7.27933788299561 168 380838.727472968 380838.727472968 19543680 19543680 256990.377371679 256990.377371679 13188096 13188096 392.365882580281 646866.974114414 6565.75535857327 640301.218755841 2914 4921845 47589 4874256 0 0 0 0 56.7843170166016 1718200049.6494 36591
12800 12.5 833.03868522418 952.757389528706 59.6575479507446 54.0190999507904 52.3648555278778 0 7.29799461364746 175 376866.701195419 376866.701195419 20358000 20358000 254310.049825238 254310.049825238 13737600 13737600 402.594793494092 675071.251402742 6695.88091318461 668375.370489557 2940 4923296 49040 4874256 0 0 0 0 59.4827229976654 1718200052.35103 38099
13312 13 818.93756102499 945.649833747041 62.7856619358063 57.1472139358521 55.4152431488037 0 7.40314960479736 182 370487.352607706 370487.352607706 21172320 21172320 250005.258629709 250005.258629709 14287104 14287104 411.64553706912 670030.719110382 6828.24157682188 663202.47753356 3074 4946384 50528 4895856 0 0 0 0 62.6028127670288 1718200055.47914 39607
13824 13.5 806.076488302112 938.606016272565 65.9304931163788 60.2920451164246 58.5132758617401 0 7.42186331748962 189 364669.003307875 364669.003307875 21986640 21986640 246079.030348869 246079.030348869 14836608 14836608 417.407215362848 667045.851583462 6979.43692664856 660066.414656813 3100 4947831 51975 4895856 0 0 0 0 65.7383987903595 1718200058.62397 41115
14336 14 794.162238735214 931.601779636891 69.1015510559082 63.463103055954 61.5395669937134 0 7.63707756996155 196 359278.996803811 359278.996803811 22800960 22800960 242441.848241086 242441.848241086 15386112 15386112 433.48411912 710688.088707789 7044.18305591341 703643.905651875 3360 5627133 53469 5573664 0 0 0 0 68.8971056938171 1718200061.79503 42623
14848 14.5 788.513122343926 925.777631361568 71.8389949798584 66.2005469799042 64.184928894043 0 7.65839624404907 203 356723.336548392 356723.336548392 23615280 23615280 240717.285989154 240717.285989154 15935616 15935616 441.856650057875 735344.317242118 7147.8348091858 728196.482432932 3386 5628580 54916 5573664 0 0 0 0 71.6368749141693 1718200064.53248 44131
15360 15 784.912915518481 920.487773853081 74.435889005661 68.7974410057068 66.7027761936188 0 7.76871776580811 210 355094.602980561 355094.602980561 24429600 24429600 239618.214849482 239618.214849482 16485120 16485120 450.012832423812 729808.828239447 7268.22449977379 722540.603739673 3520 5651671 56407 5595264 0 0 0 0 74.2254552841187 1718200067.12937 45639
15872 15.5 780.809372294818 915.251545675266 77.1027541160583 71.4643061161041 69.3171501159668 0 7.79237794876099 217 353238.160026176 353238.160026176 25243920 25243920 238365.485174162 238365.485174162 17034624 17034624 454.942224130376 726073.147302833 7405.20581310352 718667.941489729 3546 5653126 57862 5595264 0 0 0 0 76.8871767520905 1718200069.79624 47147
16384 16 772.038315678363 909.410042054271 80.2461440563202 74.607696056366 72.3273458480835 0 7.98247838020325 224 349270.134012891 349270.134012891 26058240 26058240 235687.857010291 235687.857010291 17584128 17584128 470.273380135701 767730.637923876 7469.82034956685 760260.817574309 3806 6332425 59353 6273072 0 0 0 0 80.0091807842255 1718200072.93963 48655
16896 16.5 775.860892885381 905.970195920553 82.1985640525818 76.5601160526276 74.1978101730347 0 8.00646710395813 231 350999.467941346 350999.467941346 26872560 26872560 236854.813380049 236854.813380049 18133632 18133632 478.454912828375 791634.525365317 7574.41122578693 784060.11413953 3832 6333882 60810 6273072 0 0 0 0 81.9695982933044 1718200074.89205 50163
17408 17 782.671369576356 903.324954791444 83.8321859836578 78.1937379837036 75.7665367126465 0 8.09090757369995 238 354080.527596343 354080.527596343 27686880 27686880 238933.91570427 238933.91570427 18683136 18683136 486.755606161848 787164.651805384 7699.07020668325 779465.581598701 3966 6356970 62298 6294672 0 0 0 0 83.5970582962036 1718200076.52567 51671
17920 17.5 789.992704019869 901.0465315428 85.3860199451447 79.7475719451904 77.2839379310608 0 8.10665798187256 245 357392.699298589 357392.699298589 28501200 28501200 241168.972683185 241168.972683185 19232640 19232640 492.219159602143 784763.223693305 7842.922336449 776920.301356856 3992 6358422 63750 6294672 0 0 0 0 85.1448469161987 1718200078.0795 53179
18432 18 796.156186233788 898.87653907449 87.0295131206512 81.391065120697 78.8174841403961 0 8.26541805267334 252 360181.058652166 360181.058652166 29315520 29315520 243050.560533451 243050.560533451 19782144 19782144 507.791680962924 826202.028306677 7919.48008907045 818282.548217607 4252 7037715 65235 6972480 0 0 0 0 86.7819445133209 1718200079.72299 54687
18944 18.5 802.329172224254 896.928294238953 88.646772146225 83.0083241462708 80.3700201511383 0 8.28244996070862 259 362973.717514253 362973.717514253 30129840 30129840 244935.04969662 244935.04969662 20331648 20331648 516.386138250509 850449.66965043 8032.25710272159 842417.412547709 4278 7039170 66690 6972480 0 0 0 0 88.3933508396149 1718200081.34025 56195
19456 19 808.760044680118 895.242968348321 90.2123589515686 84.5739109516144 81.8670363426208 0 8.37071394920349 266 365883.044213286 365883.044213286 30944160 30944160 246898.266439947 246898.266439947 20881152 20881152 523.886277962747 845297.339666233 8145.28127733708 837152.058388895 4412 7062254 68174 6994080 0 0 0 0 89.9525196552277 1718200082.90584 57703
19968 19.5 813.949196126311 893.625243068637 91.8846170902252 86.246169090271 83.5026371479034 0 8.38767099380493 273 368230.616327543 368230.616327543 31758480 31758480 248482.41059344 248482.41059344 21430656 21430656 528.991960194526 842700.537176833 8281.93344265761 834418.603734175 4438 7063706 69626 6994080 0 0 0 0 91.6182081699371 1718200084.5781 59211
20480 20 816.73495326885 891.926283334475 93.7943420410156 88.1558940410614 85.2904043197632 0 8.55397772789001 280 369490.892858828 369490.892858828 32572800 32572800 249332.846533915 249332.846533915 21980160 21980160 542.807361872373 880778.204816965 8339.07800415497 872439.12681281 4698 7743003 71115 7671888 0 0 0 0 93.5203733444214 1718200086.48782 60719
20992 20.5 818.765475050079 890.305106327217 95.77414894104 90.1357009410858 87.2088284492493 0 8.57038378715515 287 370409.500912656 370409.500912656 33387120 33387120 249952.724223288 249952.724223288 22529664 22529664 551.059356684175 904140.015241962 8448.13688750499 895691.878354457 4724 7744456 72568 7671888 0 0 0 0 95.4941637516022 1718200088.46763 62227
21504 21 821.515757480936 888.857730696094 97.6634631156921 92.0250151157379 89.0296537876129 0 8.66066646575928 294 371653.728684375 371653.728684375 34201440 34201440 250792.33044378 250792.33044378 23079168 23079168 558.038730868275 898741.761039826 8553.92992752484 890187.831112301 4858 7767542 74054 7693488 0 0 0 0 97.37708735466 1718200090.35694 63735
22016 21.5 824.702740214046 887.581579141425 99.4904460906982 93.851998090744 90.8186502456665 0 8.67689251899719 301 373095.519672834 373095.519672834 35015760 35015760 251765.252532544 251765.252532544 23628672 23628672 562.743875341099 895867.838545912 8682.7459208623 887185.092625049 4884 7768988 75500 7693488 0 0 0 0 99.1977903842926 1718200092.18393 65243
22528 22 827.655982853922 886.400285297579 101.330379962921 95.6919319629669 92.5466656684875 0 8.83464622497559 308 374431.566643114 374431.566643114 35830080 35830080 252666.818445645 252666.818445645 24178176 24178176 576.293789884296 933018.051963912 8742.08762102634 924275.964342886 5144 8448284 76988 8371296 0 0 0 0 101.031178236008 1718200094.02386 66751
23040 22.5 826.677685576533 885.012262383918 103.621012926102 97.9825649261475 94.7750177383423 0 8.85788607597351 315 373988.984954824 373988.984954824 36644400 36644400 252368.163852804 252368.163852804 24727680 24727680 583.9930827849 955181.505376805 8844.11514356884 946337.390233237 5170 8449740 78444 8371296 0 0 0 0 103.315808296204 1718200096.31449 68259
23552 23 829.164569551791 883.934134078416 105.497997045517 99.8595490455627 96.5581915378571 0 8.96642422676086 322 375114.05126523 375114.05126523 37458720 37458720 253127.359792771 253127.359792771 25277184 25277184 588.827127781431 946871.718042081 8918.42668519865 937953.291356882 5304 8472826 79930 8392896 0 0 0 0 105.185157775879 1718200098.19148 69767
24064 23.5 832.957500230864 883.039722944969 107.204254150391 101.565806150436 98.2265162467957 0 8.98314094543457 329 376829.973104443 376829.973104443 38273040 38273040 254285.265670478 254285.265670478 25826688 25826688 593.245209115238 943898.016515576 9041.58718729088 934856.429328285 5330 8474277 81381 8392896 0 0 0 0 106.885207414627 1718200099.89774 71275
24576 24 833.299601505271 882.012158078008 109.322644948959 103.684196949005 100.227670907974 0 9.14827060699463 336 376984.739720985 376984.739720985 39087360 39087360 254389.702347529 254389.702347529 26376192 26376192 605.609205169695 978634.788828484 9090.07542269415 969544.713405789 5590 9153577 82873 9070704 0 0 0 0 108.996587276459 1718200102.01613 72783
25088 24.5 833.451311665364 881.008405746599 111.463465929031 105.825017929077 102.303737163544 0 9.16522574424744 343 377053.373397411 377053.373397411 39901680 39901680 254436.016425202 254436.016425202 26925696 26925696 612.681897431841 999464.420223211 9183.56887563596 990280.851347575 5616 9155032 84328 9070704 0 0 0 0 111.130048274994 1718200104.15695 74291
25600 25 836.007604508929 880.215658590454 113.292971134186 107.654523134232 104.06560587883 0 9.25319051742554 350 378209.840279839 378209.840279839 40716000 40716000 255216.401504486 255216.401504486 27475200 27475200 618.811528749851 993799.068989642 9278.81335902512 984520.255630617 5750 9178121 85817 9092304 0 0 0 0 112.953383207321 1718200105.98645 75799
26112 25.5 840.123962068511 879.589767451111 114.90803694725 109.269588947296 105.643557071686 0 9.27067279815674 357 380072.080439794 380072.080439794 41530320 41530320 256473.043140275 256473.043140275 28024704 28024704 623.024722113529 990813.097258804 9397.61337596886 981415.483882836 5776 9179576 87272 9092304 0 0 0 0 114.562432765961 1718200107.60152 77307
26624 26 843.338083688306 879.000857128803 116.625965118408 110.987517118454 107.246381998062 0 9.42980861663818 364 381526.149060589 381526.149060589 42344640 42344640 257454.250188366 257454.250188366 28574208 28574208 634.783009394592 1024134.21542828 9441.78423110264 1014692.43119718 6036 9858872 88760 9770112 0 0 0 0 116.272900104523 1718200109.31945 78815
27136 26.5 846.105281131049 878.46138620803 118.390373945236 112.751925945282 108.949344396591 0 9.44682955741882 371 382778.029183686 382778.029183686 43158960 43158960 258299.020223687 258299.020223687 29123712 29123712 641.667306387093 1044390.54545859 9533.91783557316 1034856.62762301 6062 9860331 90219 9770112 0 0 0 0 118.032070636749 1718200111.08385 80323
27648 27 848.934602104033 877.986388583964 120.134900093079 114.496452093124 110.624718904495 0 9.5384635925293 378 384058.013991864 384058.013991864 43973280 43973280 259162.755330319 259162.755330319 29673216 29673216 647.306279231573 1038407.45030758 9622.00384886997 1028785.44645871 6196 9883419 91707 9791712 0 0 0 0 119.769722223282 1718200112.82838 81831
28160 27.5 842.257440492245 877.108500087229 123.179707050323 117.541259050369 113.629684686661 0 9.55717039108276 385 381037.266078692 381037.266078692 44787600 44787600 257124.351433473 257124.351433473 30222720 30222720 651.097951734556 1035041.13640724 9733.38034826856 1025307.75605897 6222 9884875 93163 9791712 0 0 0 0 122.806807518005 1718200115.87319 83339
28672 28 842.786405433576 876.524058390469 125.241706132889 119.603258132935 115.578539609909 0 9.7140953540802 392 381276.56981815 381276.56981815 45601920 45601920 257285.833850762 257285.833850762 30772224 30772224 662.308776815583 1067067.91976306 9774.74617408061 1057293.17358898 6482 10564176 94656 10469520 0 0 0 0 124.862294197083 1718200117.93519 84847
29184 28.5 816.426092138838 874.021571766427 131.308120965958 125.669672966003 121.578210353851 0 9.73902249336243 399 369351.164083611 369351.164083611 46416240 46416240 249238.557408145 249238.557408145 31321728 31321728 668.454239641984 1085870.30458986 9856.30843110484 1076013.99615875 6508 10565630 96110 10469520 0 0 0 0 130.917557954788 1718200124.0016 86355
29696 29 696.195049954224 852.182795717874 155.596423149109 149.957975149155 145.779158830643 0 9.84442496299744 406 314958.640599291 314958.640599291 47230560 47230560 212534.424850025 212534.424850025 31871232 31871232 672.48876935927 1077769.29058513 9921.50122888998 1067847.78935624 6642 10588722 97602 10491120 0 0 0 0 155.198127508163 1718200148.2899 87863
30208 29.5 612.650912202491 823.227919528075 178.983493089676 173.345045089722 169.127640962601 0 9.86398506164551 413 277163.272680407 277163.272680407 48044880 48044880 187030.070477177 187030.070477177 32420736 32420736 676.14650809271 1074485.47963784 10029.574178416 1064455.90545942 6668 10590178 99058 10491120 0 0 0 0 178.578309297562 1718200171.67697 89371
30720 30 614.474887460039 820.353790590058 181.398275136948 175.759827136993 171.415945053101 0 10.054336309433 420 277988.439086922 277988.439086922 48859200 48859200 187586.893643801 187586.893643801 32970240 32970240 685.811823742223 1103605.86230528 10052.7631481934 1093553.09915709 6928 11269478 100550 11168928 0 0 0 0 180.985396146774 1718200174.09176 90879
31232 30.5 617.275906307748 817.919215638058 183.51676607132 177.878318071365 173.442595720291 0 10.0783243179321 427 279255.620013625 279255.620013625 49673520 49673520 188441.988677629 188441.988677629 33519744 33519744 689.883112735978 1118774.60944954 10104.8519583161 1108669.75749123 6954 11270933 102005 11168928 0 0 0 0 183.09667801857 1718200176.21025 92387
31744 31 608.815334608594 811.812410652717 188.945263147354 183.3068151474 178.800453186035 0 10.1742424964905 434 275428.057376928 275428.057376928 50487840 50487840 185859.145349312 185859.145349312 34069248 34069248 694.739480273484 1112494.57042886 10181.9551469026 1102312.61528196 7088 11294021 103493 11190528 0 0 0 0 188.518649578094 1718200181.63874 93895
32256 31.5 610.975347524787 809.313163857188 191.243318080902 185.604870080948 181.057726621628 0 10.190895318985 441 276405.247220213 276405.247220213 51302160 51302160 186518.554092367 186518.554092367 34618752 34618752 698.044883149729 1108945.9110119 10283.3498102488 1098662.56120166 7114 11295479 104951 11190528 0 0 0 0 190.809304952621 1718200183.9368 95403
32768 32 613.245398072179 806.96111744866 193.491467952728 187.853019952774 183.158516645432 0 10.386500120163 448 277432.218087854 277432.218087854 52116480 52116480 187211.555123475 187211.555123475 35168256 35168256 705.703509398196 1134415.29446891 10281.8639941694 1124133.43047475 7374 11974779 106443 11868336 0 0 0 0 193.02937245369 1718200186.18495 96911
33280 32.5 615.160989850153 804.59012916379 195.832562923431 190.194114923477 185.43439745903 0 10.4035224914551 455 278298.831808209 278298.831808209 52930800 52930800 187796.346981455 187796.346981455 35717760 35717760 711.279314156007 1151743.93415845 10356.4422367269 1141387.49192172 7400 11976233 107897 11868336 0 0 0 0 195.384858369827 1718200188.52604 98419
33792 33 616.422408005432 802.113751097673 198.363434076309 192.724986076355 187.870333194733 0 10.5246765613556 462 278869.497381657 278869.497381657 53745120 53745120 188181.432715898 188181.432715898 36267264 36267264 714.183546367855 1142784.1145656 10405.7895975927 1132378.32496801 7534 11999324 109388 11889936 0 0 0 0 197.908088445663 1718200191.05692 99927
34304 33.5 617.878488922789 799.784866365456 200.822456121445 195.18400812149 190.284372806549 0 10.5429704189301 469 279528.22838867 279528.22838867 54559440 54559440 188625.945098349 188625.945098349 36816768 36816768 717.018434397796 1138781.37431663 10498.7782591939 1128282.59605744 7560 12000779 110843 11889936 0 0 0 0 200.359194040298 1718200193.51594 101435
34816 34 619.47405673428 797.584535223624 203.225414991379 197.586966991425 192.563528060913 0 10.7134821414948 476 280250.063266588 280250.063266588 55373760 55373760 189113.040039841 189113.040039841 37366272 37366272 725.762714467468 1165568.35399278 10517.2752938867 1155051.07869889 7820 12680075 112331 12567744 0 0 0 0 202.755192518234 1718200195.9189 102943
35328 34.5 622.082055849525 795.758631881591 205.29056596756 199.652117967606 194.565495729446 0 10.7317459583282 483 281429.922066325 281429.922066325 56188080 56188080 189909.210009743 189909.210009743 37915776 37915776 731.18402265862 1182399.90214094 10589.9539563276 1171809.94818461 7846 12681530 113786 12567744 0 0 0 0 204.813690662384 1718200197.98405 104451
35840 35 624.008053296073 793.821110882755 207.558918952942 201.920470952988 196.750738143921 0 10.840550661087 490 282301.243311143 282301.243311143 57002400 57002400 190497.178510225 190497.178510225 38465280 38465280 734.628716922733 1174725.6290719 10647.3977474498 1164078.23132445 7980 12704624 115280 12589344 0 0 0 0 207.075111627579 1718200200.2524 105959
36352 35.5 625.947421565998 791.962099545107 209.80895113945 204.170503139496 198.952522993088 0 10.8624939918518 497 283178.613516458 283178.613516458 57816720 57816720 191089.228855668 191089.228855668 39014784 39014784 737.074836412126 1170354.81916374 10733.6407913358 1159621.17837241 8006 12706082 116738 12589344 0 0 0 0 209.317329406738 1718200202.50243 107467
36864 36 628.135013641975 790.243496985398 211.963516950607 206.325068950653 200.976239919662 0 11.0373542308807 504 284168.28017163 284168.28017163 58631040 58631040 191757.056964622 191757.056964622 39564288 39564288 744.861531838179 1195242.82158477 10742.6070779477 1184500.21450682 8266 13385384 118232 13267152 0 0 0 0 211.464643716812 1718200204.657 108975
37376 36.5 629.884562448698 788.473780445499 214.248100996017 208.609652996063 203.198956727982 0 11.0556013584137 511 284959.776051791 284959.776051791 59445360 59445360 192291.159224339 192291.159224339 40113792 40113792 750.103338226507 1211553.82491712 10813.597605531 1200740.22731159 8292 13386842 119690 13267152 0 0 0 0 213.74200963974 1718200206.94158 110483
37888 37 632.982036404978 787.116398595247 216.070960044861 210.432512044907 204.937034845352 0 11.1636264324188 518 286361.073269612 286361.073269612 60259680 60259680 193236.756073712 193236.756073712 40663296 40663296 753.193491938501 1203704.33246591 10865.709786279 1192838.62267964 8426 13409931 121179 13288752 0 0 0 0 215.557630300522 1718200208.76444 111991
