# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
0 0 6.76446473940405e-07
512 0.5 9.14742119347459e-06
1024 1 1.39772473167761e-05
1536 1.5 1.64345919011115e-05
2048 2 1.67356629355026e-05
2560 2.5 1.64066116811748e-05
3072 3 1.70107742342744e-05
3584 3.5 1.79191540471517e-05
4096 4 1.8129842086013e-05
4608 4.5 1.78498134256001e-05
5120 5 1.77508166252863e-05
5632 5.5 1.83690313651398e-05
6144 6 1.86268763904124e-05
6656 6.5 1.85159888302072e-05
7168 7 1.84084959367782e-05
7680 7.5 1.8671871407281e-05
8192 8 1.89768711644101e-05
8704 8.5 1.89363316732374e-05
9216 9 1.88546699912032e-05
9728 9.5 1.89494788995098e-05
10240 10 1.92297682895659e-05
10752 10.5 1.9241757313019e-05
11264 11 1.92251983160896e-05
11776 11.5 1.92405440115068e-05
12288 12 1.94414159403851e-05
12800 12.5 1.94800447294191e-05
13312 13 1.94718261444331e-05
13824 13.5 1.95083869969359e-05
14336 14 1.96428661848316e-05
14848 14.5 1.97148276216813e-05
15360 15 1.96849444200547e-05
15872 15.5 1.976777906419e-05
16384 16 1.98372543059102e-05
16896 16.5 1.99640731446347e-05
17408 17 1.99576077349852e-05
17920 17.5 1.99893096506658e-05
18432 18 2.00841232929751e-05
18944 18.5 2.0175094509897e-05
19456 19 2.02355956412744e-05
19968 19.5 2.02570690668409e-05
20480 20 2.02953888804596e-05
20992 20.5 2.04210209790815e-05
21504 21 2.04679477811592e-05
22016 21.5 2.0527651013233e-05
22528 22 2.05443762934806e-05
23040 22.5 2.06443579470725e-05
23552 23 2.07143646791805e-05
24064 23.5 2.08046212248927e-05
24576 24 2.08461321856444e-05
25088 24.5 2.08313638638868e-05
25600 25 2.09571725155849e-05
26112 25.5 2.1027264365618e-05
26624 26 2.11144443534652e-05
27136 26.5 2.11387597279129e-05
27648 27 2.11736543820688e-05
28160 27.5 2.12603734033651e-05
28672 28 2.13614564741477e-05
29184 28.5 2.14091757470278e-05
29696 29 2.14605102154485e-05
30208 29.5 2.1491308071072e-05
30720 30 2.15400201896281e-05
31232 30.5 2.16299931657904e-05
31744 31 2.16939386059031e-05
32256 31.5 2.18193261676666e-05
32768 32 2.18724925622096e-05
33280 32.5 2.19011029568227e-05
33792 33 2.19270341548413e-05
34304 33.5 2.19989230179694e-05
34816 34 2.21412993271144e-05
35328 34.5 2.22217210449734e-05
35840 35 2.2258112016023e-05
36352 35.5 2.23063572822874e-05
36864 36 2.24102243723175e-05
37376 36.5 2.25579307319468e-05
37888 37 2.26321556642278e-05
38400 37.5 2.26593009608722e-05
38912 38 2.27277220482344e-05
39424 38.5 2.27956966704709e-05
39936 39 2.29225812657639e-05
40448 39.5 2.29443223528373e-05
40960 40 2.30140687111502e-05
41472 40.5 2.30474852218158e-05
41984 41 2.30854774822087e-05
42496 41.5 2.31212320014985e-05
43008 42 2.314498836259e-05
43520 42.5 2.3250139677791e-05
44032 43 2.33276707814947e-05
44544 43.5 2.3418285957025e-05
45056 44 2.34390889176714e-05
45568 44.5 2.34754675546171e-05
46080 45 2.35338263578433e-05
46592 45.5 2.36102188387224e-05
47104 46 2.36959155291697e-05
47616 46.5 2.37533858580054e-05
48128 47 2.38077077096155e-05
48640 47.5 2.38554622225035e-05
49152 48 2.39100201492643e-05
49664 48.5 2.39644850186241e-05
50176 49 2.40625728560143e-05
50688 49.5 2.41469389137439e-05
51200 50 2.41833146713854e-05
51712 50.5 2.42176837585095e-05
52224 51 2.42811778992847e-05
52736 51.5 2.439425889111e-05
53248 52 2.4480591836825e-05
53760 52.5 2.45307735284841e-05
54272 53 2.45773874522682e-05
54784 53.5 2.46602230246406e-05
55296 54 2.47654837053815e-05
55808 54.5 2.48333222722343e-05
56320 55 2.48747799906314e-05
56832 55.5 2.49633170859817e-05
57344 56 2.50554826034815e-05
57856 56.5 2.51420466896251e-05
58368 57 2.52014542533039e-05
58880 57.5 2.52528109383613e-05
59392 58 2.53426473089706e-05
59904 58.5 2.54468220813681e-05
60416 59 2.55187471495454e-05
60928 59.5 2.55862912433218e-05
61440 60 2.56388322712374e-05
61952 60.5 2.57290362856197e-05
62464 61 2.58310089544161e-05
62976 61.5 2.58893141564363e-05
63488 62 2.59713802365011e-05
64000 62.5 2.60190334541271e-05
64512 63 2.61233346908927e-05
65024 63.5 2.61940381539422e-05
65536 64 2.62777239096919e-05
66048 64.5 2.6347491836907e-05
66560 65 2.64048165729741e-05
67072 65.5 2.64920375959761e-05
67584 66 2.65583916247038e-05
68096 66.5 2.66551180975216e-05
68608 67 2.67191036368187e-05
69120 67.5 2.67816560823553e-05
69632 68 2.68383890990022e-05
70144 68.5 2.69193737959653e-05
70656 69 2.70148736559741e-05
71168 69.5 2.70924349192736e-05
71680 70 2.71384071646118e-05
72192 70.5 2.72050284932885e-05
72704 71 2.72766304097134e-05
73216 71.5 2.73712632920598e-05
73728 72 2.74375709224213e-05
74240 72.5 2.75007027066343e-05
74752 73 2.75683104980699e-05
75264 73.5 2.76445799609201e-05
75776 74 2.77265947971997e-05
76288 74.5 2.77857390899446e-05
76800 75 2.7868538857339e-05
77312 75.5 2.79185538899402e-05
77824 76 2.80164687084346e-05
78336 76.5 2.80793833917702e-05
78848 77 2.81602982770728e-05
79360 77.5 2.82120800708832e-05
79872 78 2.82810769873764e-05
80384 78.5 2.83698703644034e-05
80896 79 2.84381524509694e-05
81408 79.5 2.85247595819694e-05
81920 80 2.8571957949344e-05
82432 80.5 2.86527552813834e-05
82944 81 2.87130769010226e-05
83456 81.5 2.87898430520862e-05
83968 82 2.8864418667165e-05
84480 82.5 2.89443726670049e-05
84992 83 2.90142619941229e-05
85504 83.5 2.90819877474336e-05
86016 84 2.9139723949136e-05
86528 84.5 2.92175860067784e-05
87040 85 2.92827414538119e-05
87552 85.5 2.93605196695931e-05
88064 86 2.94285062944208e-05
88576 86.5 2.95114221880752e-05
89088 87 2.95854403187405e-05
89600 87.5 2.96510160311464e-05
90112 88 2.97260105694495e-05
90624 88.5 2.97829742013841e-05
91136 89 2.98662942838928e-05
91648 89.5 2.9922543348128e-05
92160 90 3.00238966019003e-05
92672 90.5 3.00826321470636e-05
93184 91 3.0169520577854e-05
93696 91.5 3.02201604632201e-05
94208 92 3.02906362200355e-05
94720 92.5 3.03727035964471e-05
95232 93 3.04402033810403e-05
95744 93.5 3.05413210039197e-05
96256 94 3.05867432617854e-05
96768 94.5 3.06713842099726e-05
97280 95 3.07245564527134e-05
97792 95.5 3.08137056084841e-05
98304 96 3.08925479730527e-05
98816 96.5 3.0967875592506e-05
99328 97 3.10371340427285e-05
99840 97.5 3.10912420776086e-05
100352 98 3.11824339840371e-05
100864 98.5 3.12595160382706e-05
101376 99 3.13397130942501e-05
101888 99.5 3.14011317161088e-05
102400 100 3.14689345345882e-05
102912 100.5 3.15437231599262e-05
103424 101 3.16253191995776e-05
103936 101.5 3.17051239520582e-05
104448 102 3.17662241432497e-05
104960 102.5 3.18371269377591e-05
105472 103 3.1907033430464e-05
105984 103.5 3.19934491411926e-05
106496 104 3.20691996049166e-05
107008 104.5 3.21290201569152e-05
107520 105 3.21999565777016e-05
108032 105.5 3.22697824688564e-05
108544 106 3.23584294909391e-05
109056 106.5 3.24217335500941e-05
109568 107 3.2493745767696e-05
110080 107.5 3.25481946140647e-05
110592 108 3.26306673143371e-05
111104 108.5 3.2706268536851e-05
111616 109 3.27761440453014e-05
112128 109.5 3.2842942676909e-05
112640 110 3.28968554145179e-05
113152 110.5 3.29728379544401e-05
113664 111 3.30424955578779e-05
114176 111.5 3.31239906472583e-05
114688 112 3.31781277925649e-05
115200 112.5 3.32396627000688e-05
115712 113 3.33008901563789e-05
116224 113.5 3.33814170827123e-05
116736 114 3.34546032933133e-05
117248 114.5 3.35079448227034e-05
117760 115 3.35673762229136e-05
118272 115.5 3.36317692229483e-05
118784 116 3.37115988712306e-05
119296 116.5 3.37715527657362e-05
119808 117 3.38363390580389e-05
120320 117.5 3.38884543963508e-05
120832 118 3.39629460757012e-05
121344 118.5 3.40300416568978e-05
121856 119 3.4092095896435e-05
122368 119.5 3.41553374798886e-05
122880 120 3.4212819767447e-05
123392 120.5 3.42892636391684e-05
123904 121 3.43539791561446e-05
124416 121.5 3.44130227877473e-05
124928 122 3.44714234674468e-05
125440 122.5 3.45422368784195e-05
125952 123 3.46074929772502e-05
126464 123.5 3.4675276168489e-05
126976 124 3.47349376800722e-05
127488 124.5 3.47987582736766e-05
128000 125 3.48655358047788e-05
128512 125.5 3.4929470904449e-05
129024 126 3.49950420191139e-05
129536 126.5 3.50600603171855e-05
130048 127 3.51321036540423e-05
130560 127.5 3.51898428356355e-05
131072 128 3.5253565934838e-05
131584 128.5 3.53182831552349e-05
132096 129 3.53878199823356e-05
132608 129.5 3.54560193358607e-05
133120 130 3.55160695799521e-05
133632 130.5 3.55837694329271e-05
134144 131 3.56493435790983e-05
134656 131.5 3.57153778927261e-05
135168 132 3.5777119767599e-05
135680 132.5 3.58439109413621e-05
136192 133 3.59146280154743e-05
136704 133.5 3.59820169058249e-05
137216 134 3.60453249927498e-05
137728 134.5 3.61019015063579e-05
138240 135 3.61721320302872e-05
138752 135.5 3.62435782744026e-05
139264 136 3.63148390716255e-05
139776 136.5 3.63731644021759e-05
140288 137 3.64352574981709e-05
140800 137.5 3.65082308200695e-05
141312 138 3.65761219138775e-05
141824 138.5 3.66458954598831e-05
142336 139 3.67041317310944e-05
142848 139.5 3.67770513601494e-05
143360 140 3.68456495689556e-05
143872 140.5 3.69127820124512e-05
144384 141 3.69770824585971e-05
144896 141.5 3.70432937592714e-05
145408 142 3.71196053701507e-05
145920 142.5 3.71839908699674e-05
146432 143 3.72490681533217e-05
146944 143.5 3.73110659807904e-05
147456 144 3.73899434695939e-05
147968 144.5 3.7460391792145e-05
148480 145 3.75229229684665e-05
148992 145.5 3.75837206974419e-05
149504 146 3.7656870826044e-05
150016 146.5 3.77351746925361e-05
150528 147 3.77983689749179e-05
151040 147.5 3.7857471863273e-05
151552 148 3.7926565722697e-05
152064 148.5 3.80056665987974e-05
152576 149 3.80721075934092e-05
153088 149.5 3.81349771691205e-05
153600 150 3.81951193107315e-05
154112 150.5 3.82729318050907e-05
154624 151 3.83450464214301e-05
155136 151.5 3.84090946608046e-05
155648 152 3.84696987112703e-05
156160 152.5 3.85373099306071e-05
156672 153 3.86140639793537e-05
157184 153.5 3.86800168543473e-05
157696 154 3.87437146197404e-05
158208 154.5 3.88046088508461e-05
158720 155 3.88776204187832e-05
159232 155.5 3.8945737142146e-05
159744 156 3.90135971452777e-05
160256 156.5 3.90738250410106e-05
160768 157 3.91418620705367e-05
161280 157.5 3.92084273430769e-05
161792 158 3.92765594066764e-05
162304 158.5 3.93400520727032e-05
162816 159 3.9405067850301e-05
163328 159.5 3.947435646657e-05
163840 160 3.95351676954984e-05
164352 160.5 3.95998349691749e-05
164864 161 3.96635208358437e-05
165376 161.5 3.97391746749875e-05
165888 162 3.9794826328428e-05
166400 162.5 3.98586787855734e-05
166912 163 3.99204620866839e-05
167424 163.5 3.99943848857177e-05
167936 164 4.00571704932396e-05
168448 164.5 4.01137866791947e-05
168960 165 4.01771207180295e-05
169472 165.5 4.02441104830576e-05
169984 166 4.03140857768368e-05
170496 166.5 4.03685103024503e-05
171008 167 4.0432621627415e-05
171520 167.5 4.04924655429189e-05
172032 168 4.05665164698081e-05
172544 168.5 4.06224938214941e-05
173056 169 4.06840290204731e-05
173568 169.5 4.07437288895075e-05
174080 170 4.08115427712291e-05
174592 170.5 4.08745047925644e-05
175104 171 4.09324000911471e-05
175616 171.5 4.09952832624953e-05
176128 172 4.1055539392331e-05
176640 172.5 4.11205337100773e-05
177152 173 4.11780428115272e-05
177664 173.5 4.12403633325512e-05
178176 174 4.13004700808655e-05
178688 174.5 4.13622643094305e-05
179200 175 4.14230250583884e-05
179712 175.5 4.14830341322522e-05
180224 176 4.15417278555819e-05
180736 176.5 4.16019749992695e-05
181248 177 4.16623430557244e-05
181760 177.5 4.1722335192655e-05
182272 178 4.17804173400241e-05
182784 178.5 4.18408979556798e-05
183296 179 4.18997874932564e-05
183808 179.5 4.19589479417269e-05
184320 180 4.20167548415332e-05
184832 180.5 4.20755261289796e-05
185344 181 4.21362481551543e-05
185856 181.5 4.21951454547111e-05
186368 182 4.22510823763367e-05
186880 182.5 4.23084907353689e-05
187392 183 4.23704843925387e-05
187904 183.5 4.2427952701195e-05
188416 184 4.24864894237079e-05
188928 184.5 4.25412763861712e-05
