# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
0 0 0.127999999244924
512 0.5 0.127858043316715
1024 1 0.127718837244639
1536 1.5 0.127598048421819
2048 2 0.127505099322388
2560 2.5 0.127444859935
3072 3 0.127417299127827
3584 3.5 0.127419010589113
4096 4 0.127444143793384
4608 4.5 0.127485842857707
5120 5 0.127537361305821
5632 5.5 0.127592403079225
6144 6 0.127645632531965
6656 6.5 0.127693227427097
7168 7 0.127732793117466
7680 7.5 0.127763198720586
8192 8 0.127784670685091
8704 8.5 0.127798497702634
9216 9 0.127806237756314
9728 9.5 0.127809517402647
10240 10 0.12781036267153
10752 10.5 0.127810569917552
11264 11 0.1278111237608
11776 11.5 0.127813014608836
12288 12 0.127816799917848
12800 12.5 0.12782235811315
13312 13 0.12782938955671
13824 13.5 0.127837805603428
14336 14 0.127847368089118
14848 14.5 0.127857476220068
15360 15 0.127867226941655
15872 15.5 0.127876171624799
16384 16 0.127884576158573
16896 16.5 0.127891819670684
17408 17 0.127897363513548
17920 17.5 0.127901617560146
18432 18 0.127905052909729
18944 18.5 0.127907119630757
19456 19 0.127907970535904
19968 19.5 0.127908476531783
20480 20 0.127908663742193
20992 20.5 0.127908331356016
21504 21 0.1279086322984
22016 21.5 0.127909935208878
22528 22 0.127911725922645
23040 22.5 0.127914299570453
23552 23 0.12791705546879
24064 23.5 0.127918405439242
24576 24 0.127917866286556
25088 24.5 0.127915427849949
25600 25 0.127911172814321
26112 25.5 0.127905764672828
26624 26 0.127900102976268
27136 26.5 0.127894183047739
27648 27 0.127887775043234
28160 27.5 0.127881229880925
28672 28 0.127874378599194
29184 28.5 0.127867193373808
29696 29 0.127859841484411
30208 29.5 0.127851767507733
30720 30 0.127842524799
31232 30.5 0.12783211989389
31744 31 0.127820777593735
32256 31.5 0.12780849714468
32768 32 0.127794707820834
33280 32.5 0.127779340862933
33792 33 0.127762175003974
34304 33.5 0.127742581271157
34816 34 0.127720757413525
35328 34.5 0.127696356840232
35840 35 0.127668740125071
36352 35.5 0.127638187869528
36864 36 0.127604711705821
37376 36.5 0.12756801312975
37888 37 0.12752839414539
38400 37.5 0.127485951472533
38912 38 0.12744080531554
39424 38.5 0.127393384810525
39936 39 0.127343979929932
40448 39.5 0.12729323276454
40960 40 0.127241268014641
41472 40.5 0.127188555452746
41984 41 0.127135887595758
42496 41.5 0.127083410488142
43008 42 0.127031309740258
43520 42.5 0.126980262165865
44032 43 0.126930997300369
44544 43.5 0.126883870704231
45056 44 0.126839308073976
45568 44.5 0.126797586747665
46080 45 0.126758851983348
46592 45.5 0.12672340799967
47104 46 0.126691472134411
47616 46.5 0.126663110487545
48128 47 0.12663878825248
48640 47.5 0.126618355848422
49152 48 0.126601613103164
49664 48.5 0.126588991959054
50176 49 0.126580117791616
50688 49.5 0.126574911207251
51200 50 0.12657358654607
51712 50.5 0.126575870958333
52224 51 0.126581577755331
52736 51.5 0.126590470388771
53248 52 0.126602576645763
53760 52.5 0.126617573854029
54272 53 0.126635270884359
54784 53.5 0.12665540165842
55296 54 0.126677746818992
55808 54.5 0.126701988168745
56320 55 0.126727681325637
56832 55.5 0.12675498856656
57344 56 0.12678339542972
57856 56.5 0.126812647609724
58368 57 0.126842579541262
58880 57.5 0.126872830488314
59392 58 0.126903352354164
59904 58.5 0.126933922624291
60416 59 0.126964282744241
60928 59.5 0.12699439845651
61440 60 0.127024121143736
61952 60.5 0.127053239703311
62464 61 0.127081906442501
62976 61.5 0.127109752094692
63488 62 0.127136539237622
64000 62.5 0.127162326718605
64512 63 0.127186803573856
65024 63.5 0.127210102747221
65536 64 0.127232589138526
66048 64.5 0.127254116995868
66560 65 0.127274563886636
67072 65.5 0.127294044242775
67584 66 0.127312341199935
68096 66.5 0.127329003723998
68608 67 0.127344111852691
69120 67.5 0.127358111804033
69632 68 0.127371236286841
70144 68.5 0.127383390865105
70656 69 0.12739449852916
71168 69.5 0.127404523443677
71680 70 0.127413249539864
72192 70.5 0.127420902698246
72704 71 0.127427664356085
73216 71.5 0.127433631340319
73728 72 0.127438805672814
74240 72.5 0.127442919791411
74752 73 0.127445967932742
75264 73.5 0.127448151686947
75776 74 0.127449713688317
76288 74.5 0.127450640497087
76800 75 0.127450725948861
77312 75.5 0.127450148398686
77824 76 0.127448892833018
78336 76.5 0.127446904080793
78848 77 0.127444601063341
79360 77.5 0.127441923020101
79872 78 0.127438584821175
80384 78.5 0.12743482563722
80896 79 0.127430725784331
81408 79.5 0.127426257359637
81920 80 0.12742162022666
82432 80.5 0.127416792533686
82944 81 0.127411690504879
83456 81.5 0.127406397970118
83968 82 0.127400991109924
84480 82.5 0.12739557574664
84992 83 0.127390138859106
85504 83.5 0.127384630367535
86016 84 0.127379029876855
86528 84.5 0.127373435003879
87040 85 0.127368036931762
87552 85.5 0.127362840005109
88064 86 0.127357624970227
88576 86.5 0.12735245284908
89088 87 0.127347605392529
89600 87.5 0.127342994450837
90112 88 0.12733863548002
90624 88.5 0.127334570027672
91136 89 0.127330757475193
91648 89.5 0.127327316026824
92160 90 0.12732424491215
92672 90.5 0.127321609998624
93184 91 0.12731939612788
93696 91.5 0.127317647178577
94208 92 0.127316341713715
94720 92.5 0.127315429057812
95232 93 0.127315158206394
95744 93.5 0.127315449687679
96256 94 0.127316091677608
96768 94.5 0.127317274126764
97280 95 0.127319199697375
97792 95.5 0.127321667056878
98304 96 0.12732443170391
98816 96.5 0.127327839435664
99328 97 0.127332025574787
99840 97.5 0.127336662536095
100352 98 0.127341702413253
100864 98.5 0.127347369931856
101376 99 0.127353628221426
101888 99.5 0.127360358526623
102400 100 0.127367623434396
102912 100.5 0.127375389886746
103424 101 0.12738367167174
103936 101.5 0.127392443687007
104448 102 0.127401688166871
104960 102.5 0.127411516756981
105472 103 0.127421779431854
105984 103.5 0.12743237842068
106496 104 0.127443512659835
107008 104.5 0.127455123589551
107520 105 0.127467056470234
108032 105.5 0.127479389757668
108544 106 0.127492207526187
109056 106.5 0.127505380521752
109568 107 0.127518848394706
110080 107.5 0.127532707930401
110592 108 0.127546836798261
111104 108.5 0.127561187207014
111616 109 0.127575828773428
112128 109.5 0.127590644495575
112640 110 0.127605695540191
113152 110.5 0.127620946625864
113664 111 0.127636311564851
114176 111.5 0.127651784022358
114688 112 0.127667317568013
115200 112.5 0.127682940168502
115712 113 0.127698546941423
116224 113.5 0.127714191905815
116736 114 0.127729815783401
