# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
37888 37 3.32306426367219e-05 3.32275469740033e-05 3.32294984050122e-05
38400 37.5 4.132360639749e-05 4.13177090507358e-05 4.13206423709525e-05
38912 38 3.98394057983404e-05 3.98345516869403e-05 3.9836651236869e-05
39424 38.5 3.57386630471965e-05 3.5733876272397e-05 3.57345111723907e-05
39936 39 3.71667760223231e-05 3.7163716887674e-05 3.71648138080266e-05
40448 39.5 4.86009620916882e-05 4.85976346126166e-05 4.85983634414518e-05
40960 40 5.04872082576606e-05 5.04828193301736e-05 5.04841068837878e-05
41472 40.5 4.49928298483601e-05 4.49913013648162e-05 4.49928618465396e-05
41984 41 4.36302417880695e-05 4.36278772309769e-05 4.36271863813167e-05
42496 41.5 4.68264091583598e-05 4.68252461842184e-05 4.68239131932395e-05
43008 42 4.70715050511839e-05 4.70695537858249e-05 4.70736106670164e-05
43520 42.5 5.46757200407288e-05 5.46712721320723e-05 5.46711687020062e-05
44032 43 6.37736106063236e-05 6.37746355054267e-05 6.37720855797044e-05
44544 43.5 5.69399542349162e-05 5.69353600166491e-05 5.69353664150666e-05
45056 44 6.27416839326381e-05 6.27634019476458e-05 6.27386769035921e-05
45568 44.5 6.62187662956407e-05 6.62273349878671e-05 6.62223337527593e-05
46080 45 6.58057004233544e-05 6.58073124597337e-05 6.5806816827049e-05
46592 45.5 6.49729996520288e-05 6.49789690750753e-05 6.4983843560282e-05
47104 46 7.69468539368247e-05 7.69484709605454e-05 7.69446604309519e-05
47616 46.5 7.2696652408227e-05 7.2679980512617e-05 7.27022459938402e-05
48128 47 6.7342215084602e-05 6.73660282881388e-05 6.73456266301883e-05
48640 47.5 6.76108161611256e-05 6.76261788516343e-05 6.75870573620071e-05
49152 48 5.78017015458176e-05 5.77894797659469e-05 5.77860748445621e-05
49664 48.5 5.03696596946493e-05 5.04172645371737e-05 5.0426741817102e-05
50176 49 5.45494418844998e-05 5.45984300064612e-05 5.46124822456427e-05
50688 49.5 5.68832614610236e-05 5.68827485003451e-05 5.68721734800641e-05
51200 50 5.29059883735279e-05 5.29018057530061e-05 5.29032868036261e-05
51712 50.5 5.17697915941475e-05 5.17600174149374e-05 5.17729139681136e-05
52224 51 4.88340389867021e-05 4.88478247127477e-05 4.88419960185654e-05
52736 51.5 5.663806060109e-05 5.66385661734582e-05 5.66451646969554e-05
53248 52 4.35249367500293e-05 4.35279087416432e-05 4.34953714078205e-05
53760 52.5 3.80310860648446e-05 3.79954506062053e-05 3.80306667688342e-05
54272 53 3.69068917104048e-05 3.69096070708432e-05 3.69059917329849e-05
54784 53.5 3.28161615207263e-05 3.28201279767684e-05 3.28105325583434e-05
