# Scalar ASCII output created by CarpetIOScalar
# created on DESKTOP-32SDILR. by acastoldi on Jun 12 2024 at 15:46:38+0200
# parameter filename: "TOV_lev3_r12_r10.par"
# Build ID: build-sim-DESKTOP-32SDILR.-acastoldi-2024.05.17-07.33.06-127188
# Simulation ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
# Run ID: run-TOV_lev3_r12_r10-DESKTOP-32SDILR.-acastoldi-2024.06.12-13.46.32-2218
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
0 0 0 0 0
512 0.5 0.0217385610000221 0.0217385610000222 0.0217385610000221
1024 1 0.0196536166030548 0.0196536166030547 0.0196536166030547
1536 1.5 0.0176523752289213 0.0176523752289214 0.0176523752289214
2048 2 0.0157293304032152 0.015729330403215 0.0157293304008856
2560 2.5 0.0138749730875858 0.0138749731674675 0.0138749731674673
3072 3 0.0120887960876166 0.0120887963534808 0.0120887963534823
3584 3.5 0.0103549780386576 0.0103549782484566 0.0103549782484448
4096 4 0.00852965405384925 0.00852965405369561 0.00852965377628709
4608 4.5 0.00648117978271817 0.0064811797823853 0.0064811785812893
5120 5 0.0052859334153443 0.00528593341497509 0.00528593340066184
5632 5.5 0.00554880750959176 0.00554880750975547 0.00554880746735003
6144 6 0.00577412764104797 0.00577412764229074 0.00577412749979514
6656 6.5 0.00595592919237176 0.00595592919726744 0.00595592910855976
7168 7 0.00609170645177862 0.00609170646436903 0.00609170657702858
7680 7.5 0.00618441243353883 0.00618441246173501 0.00618441274654258
8192 8 0.00623681452047483 0.00623681458354553 0.00623681495731742
8704 8.5 0.00625257297378394 0.00625257310063873 0.00625257342458312
9216 9 0.00623555435165671 0.00623555457153731 0.0062355547143766
9728 9.5 0.00618888892691454 0.00618888928568314 0.00618886340790817
10240 10 0.00611527634125462 0.00611527525899701 0.00611503569072244
10752 10.5 0.00601592453185096 0.00601590887070474 0.00601527655684183
11264 11 0.00589451106685646 0.00589447310708593 0.00589341221793777
11776 11.5 0.00575338731986743 0.00575332632454975 0.00575190228263555
12288 12 0.0055930573512036 0.00559297181614191 0.00559136690890603
12800 12.5 0.00541589099116047 0.00541578431986423 0.00541434280609358
13312 13 0.0052231570807606 0.00522303815655148 0.00522199657729208
13824 13.5 0.00501704899724494 0.00501692636504818 0.00501642207280292
14336 14 0.00483044241917236 0.00484867347141008 0.00483036011995398
14848 14.5 0.00464650535045247 0.00466963210404462 0.0046476735203121
15360 15 0.00445261487499748 0.00448109480442512 0.0044554341395317
15872 15.5 0.00425238110579255 0.00428528731195488 0.00425722745154637
16384 16 0.00404843795005057 0.00408416690072976 0.00405563301850912
16896 16.5 0.00384286733667132 0.00387962940410607 0.003852649811024
17408 17 0.00363570179778891 0.00367167948969026 0.00364821242905471
